Row.names	p	siggenesGO	allgenesGO	allgenes-allgenesGO	siggenes	Ontology	Term
GO:0000187	0.00274688692483122	6	34	65504	2769	BP	activation of MAPK activity
GO:0000578	7.5342240097431e-05	3	3	65535	2769	BP	embryonic axis specification
GO:0000956	0.0328737971274852	3	17	65521	2769	BP	nuclear-transcribed mRNA catabolic process
GO:0001569	0.0156717441652563	3	13	65525	2769	BP	patterning of blood vessels
GO:0001658	0.00722911083050201	3	10	65528	2769	BP	branching involved in ureteric bud morphogenesis
GO:0001659	0.00359490447539604	3	8	65530	2769	BP	temperature homeostasis
GO:0001666	0.000409736912411788	13	103	65435	2769	BP	response to hypoxia
GO:0001701	4.03938094082692e-06	15	88	65450	2769	BP	in utero embryonic development
GO:0001702	0.0328737971274852	3	17	65521	2769	BP	gastrulation with mouth forming second
GO:0001708	0.000291829173888946	3	4	65534	2769	BP	cell fate specification
GO:0001711	0.00136852143017539	3	6	65532	2769	BP	endodermal cell fate commitment
GO:0001754	0.00231959838703615	3	7	65531	2769	BP	eye photoreceptor cell differentiation
GO:0001780	0.0101136230735823	2	4	65534	2769	BP	neutrophil homeostasis
GO:0001822	0.0491362953623034	4	33	65505	2769	BP	kidney development
GO:0001835	0.0422502975373067	1	1	65537	2769	BP	blastocyst hatching
GO:0001837	0.00722911083050201	3	10	65528	2769	BP	epithelial to mesenchymal transition
GO:0001840	0.00522353891926033	3	9	65529	2769	BP	neural plate development
GO:0001878	0.0440210493617277	3	19	65519	2769	BP	response to yeast
GO:0001881	0.0325227365425519	2	7	65531	2769	BP	receptor recycling
GO:0001889	0.00339345937194838	10	86	65452	2769	BP	liver development
GO:0001921	0.0101136230735823	2	4	65534	2769	BP	positive regulation of receptor recycling
GO:0001936	0.0422502975373067	1	1	65537	2769	BP	regulation of endothelial cell proliferation
GO:0001937	0.0421653472316038	2	8	65530	2769	BP	negative regulation of endothelial cell proliferation
GO:0002001	0.00178447020131017	2	2	65536	2769	BP	renin secretion into blood stream
GO:0002052	0.00231959838703615	3	7	65531	2769	BP	positive regulation of neuroblast proliferation
GO:0002053	0.00722911083050201	3	10	65528	2769	BP	positive regulation of mesenchymal cell proliferation
GO:0002089	0.00359490447539604	3	8	65530	2769	BP	lens morphogenesis in camera-type eye
GO:0002184	0.0101136230735823	2	4	65534	2769	BP	cytoplasmic translational termination
GO:0002224	0.0238932684981188	2	6	65532	2769	BP	toll-like receptor signaling pathway
GO:0002281	0.016385019475471	2	5	65533	2769	BP	macrophage activation involved in immune response
GO:0002378	0.0422502975373067	1	1	65537	2769	BP	immunoglobulin biosynthetic process
GO:0002474	0.000552232130666644	10	68	65470	2769	BP	antigen processing and presentation of peptide antigen via MHC class I
GO:0002566	0.0422502975373067	1	1	65537	2769	BP	somatic diversification of immune receptors via somatic mutation
GO:0002682	8.71150410509123e-11	8	9	65529	2769	BP	regulation of immune system process
GO:0002686	0.0422502975373067	1	1	65537	2769	BP	negative regulation of leukocyte migration
GO:0002790	0.0101136230735823	2	4	65534	2769	BP	peptide secretion
GO:0002827	0.0422502975373067	1	1	65537	2769	BP	positive regulation of T-helper 1 type immune response
GO:0003151	0.0124411055345536	3	12	65526	2769	BP	outflow tract morphogenesis
GO:0003197	0.016385019475471	2	5	65533	2769	BP	endocardial cushion development
GO:0003266	7.5342240097431e-05	3	3	65535	2769	BP	regulation of secondary heart field cardioblast proliferation
GO:0003338	7.5342240097431e-05	3	3	65535	2769	BP	metanephros morphogenesis
GO:0003340	7.5342240097431e-05	3	3	65535	2769	BP	negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
GO:0005975	0.0122065958607537	12	135	65403	2769	BP	carbohydrate metabolic process
GO:0006042	0.0422502975373067	1	1	65537	2769	BP	glucosamine biosynthetic process
GO:0006049	0.0422502975373067	1	1	65537	2769	BP	UDP-N-acetylglucosamine catabolic process
GO:0006069	0.0101136230735823	2	4	65534	2769	BP	ethanol oxidation
GO:0006085	4.45355113233697e-05	4	6	65532	2769	BP	acetyl-CoA biosynthetic process
GO:0006097	0.0325227365425519	2	7	65531	2769	BP	glyoxylate cycle
GO:0006098	0.000129829433342546	5	13	65525	2769	BP	pentose-phosphate shunt
GO:0006099	0.00126316116623878	8	51	65487	2769	BP	tricarboxylic acid cycle
GO:0006101	0.00167231009887801	4	13	65525	2769	BP	citrate metabolic process
GO:0006103	0.0226102989738769	4	26	65512	2769	BP	2-oxoglutarate metabolic process
GO:0006104	0.00070652847074938	3	5	65533	2769	BP	succinyl-CoA metabolic process
GO:0006107	0.0156717441652563	3	13	65525	2769	BP	oxaloacetate metabolic process
GO:0006139	0.0325227365425519	2	7	65531	2769	BP	nucleobase-containing compound metabolic process
GO:0006198	0.00070652847074938	3	5	65533	2769	BP	cAMP catabolic process
GO:0006212	0.00070652847074938	3	5	65533	2769	BP	uracil catabolic process
GO:0006214	7.5342240097431e-05	3	3	65535	2769	BP	thymidine catabolic process
GO:0006221	0.0238932684981188	2	6	65532	2769	BP	pyrimidine nucleotide biosynthetic process
GO:0006436	0.0422502975373067	1	1	65537	2769	BP	tryptophanyl-tRNA aminoacylation
GO:0006437	0.0422502975373067	1	1	65537	2769	BP	tyrosyl-tRNA aminoacylation
GO:0006457	0.0240587943361324	10	115	65423	2769	BP	protein folding
GO:0006465	0.000282199205512794	5	15	65523	2769	BP	signal peptide processing
GO:0006486	0.000489350510024064	10	67	65471	2769	BP	protein glycosylation
GO:0006554	0.016385019475471	2	5	65533	2769	BP	lysine catabolic process
GO:0006564	0.016385019475471	2	5	65533	2769	BP	L-serine biosynthetic process
GO:0006606	0.0124612697537227	6	46	65492	2769	BP	protein import into nucleus
GO:0006614	0.0234148383150279	3	15	65523	2769	BP	SRP-dependent cotranslational protein targeting to membrane
GO:0006623	0.000282199205512794	5	15	65523	2769	BP	protein targeting to vacuole
GO:0006629	0.00972944447214703	9	85	65453	2769	BP	lipid metabolic process
GO:0006633	0.000230211600718027	8	40	65498	2769	BP	fatty acid biosynthetic process
GO:0006644	0.0238932684981188	2	6	65532	2769	BP	phospholipid metabolic process
GO:0006658	0.0325227365425519	2	7	65531	2769	BP	phosphatidylserine metabolic process
GO:0006695	7.84054828878565e-08	9	21	65517	2769	BP	cholesterol biosynthetic process
GO:0006730	0.0258522007334813	5	40	65498	2769	BP	one-carbon metabolic process
GO:0006739	1.53629759819905e-05	4	5	65533	2769	BP	NADP metabolic process
GO:0006743	0.0422502975373067	1	1	65537	2769	BP	ubiquinone metabolic process
GO:0006796	0.00722911083050201	3	10	65528	2769	BP	phosphate-containing compound metabolic process
GO:0006811	2.83634508347322e-05	9	39	65499	2769	BP	ion transport
GO:0006825	0.0382394844353044	3	18	65520	2769	BP	copper ion transport
GO:0006869	3.79701756829397e-05	11	60	65478	2769	BP	lipid transport
GO:0006879	6.78181829226408e-07	12	49	65489	2769	BP	cellular iron ion homeostasis
GO:0006883	0.0421653472316038	2	8	65530	2769	BP	cellular sodium ion homeostasis
GO:0006888	8.27216030436663e-07	15	78	65460	2769	BP	ER to Golgi vesicle-mediated transport
GO:0006890	0.0189870666251716	5	37	65501	2769	BP	retrograde vesicle-mediated transport, Golgi to ER
GO:0006892	0.00722911083050201	3	10	65528	2769	BP	post-Golgi vesicle-mediated transport
GO:0006935	0.0312074189353164	5	42	65496	2769	BP	chemotaxis
GO:0006950	0.000205903187317374	7	30	65508	2769	BP	response to stress
GO:0006953	0.0440210493617277	3	19	65519	2769	BP	acute-phase response
GO:0006954	4.75668093675946e-10	21	96	65442	2769	BP	inflammatory response
GO:0006955	1.61001008355024e-09	29	187	65351	2769	BP	immune response
GO:0006956	0.00790972110971799	5	30	65508	2769	BP	complement activation
GO:0006957	7.20553052342573e-27	24	32	65506	2769	BP	complement activation, alternative pathway
GO:0006958	7.27663135841636e-25	24	36	65502	2769	BP	complement activation, classical pathway
GO:0006979	0.0263204614478409	7	69	65469	2769	BP	response to oxidative stress
GO:0007010	0.0196083608973673	7	65	65473	2769	BP	cytoskeleton organization
GO:0007015	0.0325273521002648	4	29	65509	2769	BP	actin filament organization
GO:0007017	0.00488489854254844	6	38	65500	2769	BP	microtubule-based process
GO:0007029	1.16078297705969e-09	10	19	65519	2769	BP	endoplasmic reticulum organization
GO:0007030	9.54214706685624e-06	12	62	65476	2769	BP	Golgi organization
GO:0007041	0.016385019475471	2	5	65533	2769	BP	lysosomal transport
GO:0007126	0.0234148383150279	3	15	65523	2769	BP	meiotic nuclear division
GO:0007160	0.00557015365152557	6	39	65499	2769	BP	cell-matrix adhesion
GO:0007166	0.00178061976124213	9	66	65472	2769	BP	cell surface receptor signaling pathway
GO:0007172	0.0421653472316038	2	8	65530	2769	BP	signal complex assembly
GO:0007182	0.0325227365425519	2	7	65531	2769	BP	common-partner SMAD protein phosphorylation
GO:0007186	0.0120770818209241	9	88	65450	2769	BP	G-protein coupled receptor signaling pathway
GO:0007223	0.00359490447539604	3	8	65530	2769	BP	Wnt signaling pathway, calcium modulating pathway
GO:0007229	0.000552232130666644	10	68	65470	2769	BP	integrin-mediated signaling pathway
GO:0007249	0.00154732554498643	5	21	65517	2769	BP	I-kappaB kinase/NF-kappaB signaling
GO:0007398	0.0124411055345536	3	12	65526	2769	BP	ectoderm development
GO:0007399	0.0272855863503001	8	85	65453	2769	BP	nervous system development
GO:0007403	3.17992883359265e-06	4	4	65534	2769	BP	glial cell fate determination
GO:0007494	3.17992883359265e-06	4	4	65534	2769	BP	midgut development
GO:0007528	0.00384614069002907	4	16	65522	2769	BP	neuromuscular junction development
GO:0007566	0.0421653472316038	2	8	65530	2769	BP	embryo implantation
GO:0007568	5.59895932779431e-06	13	69	65469	2769	BP	aging
GO:0007584	0.000187924554943823	9	49	65489	2769	BP	response to nutrient
GO:0007620	1.34167046493174e-07	5	5	65533	2769	BP	copulation
GO:0007626	3.5228180020192e-05	9	40	65498	2769	BP	locomotory behavior
GO:0008104	0.0279306916131045	3	16	65522	2769	BP	protein localization
GO:0008203	0.00820447586244113	7	55	65483	2769	BP	cholesterol metabolic process
GO:0008219	0.0156717441652563	3	13	65525	2769	BP	cell death
GO:0008277	0.0124411055345536	3	12	65526	2769	BP	regulation of G-protein coupled receptor protein signaling pathway
GO:0008283	0.0171156247000305	11	125	65413	2769	BP	cell proliferation
GO:0008285	7.84372696784466e-06	18	128	65410	2769	BP	negative regulation of cell proliferation
GO:0008299	0.00298365494930299	4	15	65523	2769	BP	isoprenoid biosynthetic process
GO:0008610	0.000948694690920579	5	19	65519	2769	BP	lipid biosynthetic process
GO:0009051	0.0422502975373067	1	1	65537	2769	BP	pentose-phosphate shunt, oxidative branch
GO:0009100	0.0325227365425519	2	7	65531	2769	BP	glycoprotein metabolic process
GO:0009190	0.0422502975373067	1	1	65537	2769	BP	cyclic nucleotide biosynthetic process
GO:0009253	0.000194088239769667	4	8	65530	2769	BP	peptidoglycan catabolic process
GO:0009298	0.0238932684981188	2	6	65532	2769	BP	GDP-mannose biosynthetic process
GO:0009395	0.0440210493617277	3	19	65519	2769	BP	phospholipid catabolic process
GO:0009396	0.000291829173888946	3	4	65534	2769	BP	folic acid-containing compound biosynthetic process
GO:0009449	1.34167046493174e-07	5	5	65533	2769	BP	gamma-aminobutyric acid biosynthetic process
GO:0009450	2.62302904511607e-06	5	7	65531	2769	BP	gamma-aminobutyric acid catabolic process
GO:0009612	0.0382394844353044	3	18	65520	2769	BP	response to mechanical stimulus
GO:0009615	1.85472161576921e-15	16	28	65510	2769	BP	response to virus
GO:0009636	3.19736558977802e-06	11	47	65491	2769	BP	response to toxic substance
GO:0009743	0.0238932684981188	2	6	65532	2769	BP	response to carbohydrate
GO:0009744	0.0422502975373067	1	1	65537	2769	BP	response to sucrose
GO:0009855	0.0422502975373067	1	1	65537	2769	BP	determination of bilateral symmetry
GO:0009948	0.00722911083050201	3	10	65528	2769	BP	anterior/posterior axis specification
GO:0009950	0.000543871126363093	4	10	65528	2769	BP	dorsal/ventral axis specification
GO:0009954	3.17992883359265e-06	4	4	65534	2769	BP	proximal/distal pattern formation
GO:0009987	0.0325227365425519	2	7	65531	2769	BP	cellular process
GO:0010033	0.0193286016418829	3	14	65524	2769	BP	response to organic substance
GO:0010034	0.00178447020131017	2	2	65536	2769	BP	response to acetate
GO:0010039	9.54141625116365e-08	8	16	65522	2769	BP	response to iron ion
GO:0010575	4.45355113233697e-05	4	6	65532	2769	BP	positive regulation of vascular endothelial growth factor production
GO:0010586	0.016385019475471	2	5	65533	2769	BP	miRNA metabolic process
GO:0010587	0.0101136230735823	2	4	65534	2769	BP	miRNA catabolic process
GO:0010666	0.0422502975373067	1	1	65537	2769	BP	positive regulation of cardiac muscle cell apoptotic process
GO:0010718	0.0234148383150279	3	15	65523	2769	BP	positive regulation of epithelial to mesenchymal transition
GO:0010739	0.00178447020131017	2	2	65536	2769	BP	positive regulation of protein kinase A signaling
GO:0010742	0.0238932684981188	2	6	65532	2769	BP	macrophage derived foam cell differentiation
GO:0010745	0.00359490447539604	3	8	65530	2769	BP	negative regulation of macrophage derived foam cell differentiation
GO:0010760	3.17992883359265e-06	4	4	65534	2769	BP	negative regulation of macrophage chemotaxis
