	Row.names	p	siggenesGO	allgenesGO	allgenes-allgenesGO	siggenes	Ontology	Term
1	GO:0000146	0.0124411055345536	3	12	65526	2769	MF	microfilament motor activity
2	GO:0000246	0.0422502975373067	1	1	65537	2769	MF	delta24(24-1) sterol reductase activity
3	GO:0000250	0.0422502975373067	1	1	65537	2769	MF	lanosterol synthase activity
4	GO:0000339	0.00231959838703615	3	7	65531	2769	MF	RNA cap binding
5	GO:0000975	0.00486286587932773	4	17	65521	2769	MF	regulatory region DNA binding
6	GO:0000978	0.0211597925867096	7	66	65472	2769	MF	RNA polymerase II core promoter proximal region sequence-specific DNA binding
7	GO:0000983	0.016385019475471	2	5	65533	2769	MF	transcription factor activity, RNA polymerase II core promoter sequence-specific
8	GO:0001102	0.0440210493617277	3	19	65519	2769	MF	RNA polymerase II activating transcription factor binding
9	GO:0001540	0.0325227365425519	2	7	65531	2769	MF	beta-amyloid binding
10	GO:0001786	0.00384614069002907	4	16	65522	2769	MF	phosphatidylserine binding
11	GO:0001848	6.51006444529321e-12	12	21	65517	2769	MF	complement binding
12	GO:0001872	2.90254991013253e-12	12	20	65518	2769	MF	(1->3)-beta-D-glucan binding
13	GO:0001965	0.00520272612373565	2	3	65535	2769	MF	G-protein alpha-subunit binding
14	GO:0001968	0.0422502975373067	1	1	65537	2769	MF	fibronectin binding
15	GO:0002060	0.00178447020131017	2	2	65536	2769	MF	purine nucleobase binding
16	GO:0003690	0.006045360588389	4	18	65520	2769	MF	double-stranded DNA binding
17	GO:0003713	0.0498860303119189	11	148	65390	2769	MF	transcription coactivator activity
18	GO:0003725	3.20657898442601e-09	15	53	65485	2769	MF	double-stranded RNA binding
19	GO:0003726	7.5342240097431e-05	3	3	65535	2769	MF	double-stranded RNA adenosine deaminase activity
20	GO:0003727	0.00122113814795696	5	20	65518	2769	MF	single-stranded RNA binding
21	GO:0003746	0.0404564696719446	5	45	65493	2769	MF	translation elongation factor activity
22	GO:0003747	0.0421653472316038	2	8	65530	2769	MF	translation release factor activity
23	GO:0003756	8.86012944042074e-11	11	20	65518	2769	MF	protein disulfide isomerase activity
24	GO:0003796	1.13743185481517e-06	7	15	65523	2769	MF	lysozyme activity
25	GO:0003823	2.76702568015163e-11	12	23	65515	2769	MF	antigen binding
26	GO:0003827	0.0422502975373067	1	1	65537	2769	MF	alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity
27	GO:0003837	0.00178447020131017	2	2	65536	2769	MF	beta-ureidopropionase activity
28	GO:0003841	0.0238932684981188	2	6	65532	2769	MF	1-acylglycerol-3-phosphate O-acyltransferase activity
29	GO:0003846	0.00178447020131017	2	2	65536	2769	MF	2-acylglycerol O-acyltransferase activity
30	GO:0003867	5.65879353161205e-09	6	6	65532	2769	MF	4-aminobutyrate transaminase activity
31	GO:0003878	0.000291829173888946	3	4	65534	2769	MF	ATP citrate synthase activity
32	GO:0003924	0.00658037662339239	18	222	65316	2769	MF	GTPase activity
33	GO:0003950	1.6762421725772e-06	12	53	65485	2769	MF	NAD+ ADP-ribosyltransferase activity
34	GO:0003985	0.00520272612373565	2	3	65535	2769	MF	acetyl-CoA C-acetyltransferase activity
35	GO:0003987	0.00136852143017539	3	6	65532	2769	MF	acetate-CoA ligase activity
36	GO:0004038	0.0325227365425519	2	7	65531	2769	MF	allantoinase activity
37	GO:0004089	0.016385019475471	2	5	65533	2769	MF	carbonate dehydratase activity
38	GO:0004115	0.000291829173888946	3	4	65534	2769	MF	3',5'-cyclic-AMP phosphodiesterase activity
39	GO:0004127	0.00178447020131017	2	2	65536	2769	MF	cytidylate kinase activity
40	GO:0004142	0.0422502975373067	1	1	65537	2769	MF	diacylglycerol cholinephosphotransferase activity
41	GO:0004144	0.0101136230735823	2	4	65534	2769	MF	diacylglycerol O-acyltransferase activity
42	GO:0004175	0.00095522813131859	6	28	65510	2769	MF	endopeptidase activity
43	GO:0004252	0.000661649066594872	17	165	65373	2769	MF	serine-type endopeptidase activity
44	GO:0004322	0.0193286016418829	3	14	65524	2769	MF	ferroxidase activity
45	GO:0004329	0.0101136230735823	2	4	65534	2769	MF	formate-tetrahydrofolate ligase activity
46	GO:0004334	0.00178447020131017	2	2	65536	2769	MF	fumarylacetoacetase activity
47	GO:0004345	0.000100418821027708	4	7	65531	2769	MF	glucose-6-phosphate dehydrogenase activity
48	GO:0004386	0.0171156247000305	11	125	65413	2769	MF	helicase activity
49	GO:0004420	0.00520272612373565	2	3	65535	2769	MF	hydroxymethylglutaryl-CoA reductase (NADPH) activity
50	GO:0004427	0.00070652847074938	3	5	65533	2769	MF	inorganic diphosphatase activity
51	GO:0004450	0.0421653472316038	2	8	65530	2769	MF	isocitrate dehydrogenase (NADP+) activity
52	GO:0004452	0.00178447020131017	2	2	65536	2769	MF	isopentenyl-diphosphate delta-isomerase activity
53	GO:0004475	0.00178447020131017	2	2	65536	2769	MF	mannose-1-phosphate guanylyltransferase activity
54	GO:0004506	0.0422502975373067	1	1	65537	2769	MF	squalene monooxygenase activity
55	GO:0004514	0.0421653472316038	2	8	65530	2769	MF	nicotinate-nucleotide diphosphorylase (carboxylating) activity
56	GO:0004563	0.0101136230735823	2	4	65534	2769	MF	beta-N-acetylhexosaminidase activity
57	GO:0004579	0.000100418821027708	4	7	65531	2769	MF	dolichyl-diphosphooligosaccharide-protein glycotransferase activity
58	GO:0004586	0.00178447020131017	2	2	65536	2769	MF	ornithine decarboxylase activity
59	GO:0004591	0.0421653472316038	2	8	65530	2769	MF	oxoglutarate dehydrogenase (succinyl-transferring) activity
60	GO:0004601	0.0193286016418829	3	14	65524	2769	MF	peroxidase activity
61	GO:0004620	6.74940228574822e-06	5	8	65530	2769	MF	phospholipase activity
62	GO:0004630	0.0421653472316038	2	8	65530	2769	MF	phospholipase D activity
63	GO:0004631	0.00178447020131017	2	2	65536	2769	MF	phosphomevalonate kinase activity
64	GO:0004647	0.0422502975373067	1	1	65537	2769	MF	phosphoserine phosphatase activity
65	GO:0004648	0.0422502975373067	1	1	65537	2769	MF	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
66	GO:0004661	0.0422502975373067	1	1	65537	2769	MF	protein geranylgeranyltransferase activity
67	GO:0004662	0.0422502975373067	1	1	65537	2769	MF	CAAX-protein geranylgeranyltransferase activity
68	GO:0004666	0.00178447020131017	2	2	65536	2769	MF	prostaglandin-endoperoxide synthase activity
69	GO:0004683	0.00895030483098649	4	20	65518	2769	MF	calmodulin-dependent protein kinase activity
70	GO:0004708	0.00231959838703615	3	7	65531	2769	MF	MAP kinase kinase activity
71	GO:0004715	0.00296908012783845	9	71	65467	2769	MF	non-membrane spanning protein tyrosine kinase activity
72	GO:0004742	0.0422502975373067	1	1	65537	2769	MF	dihydrolipoyllysine-residue acetyltransferase activity
