pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0000398	3.1804592583169e-05	0.0100034525347656	-0.46685319971259	-1.87200366433737	0	138
GO:0001731	2.40552308099396e-05	0.0100034525347656	-0.727814469189253	-2.18585184973507	0	29
GO:0007586	1.87888694737238e-05	0.0100034525347656	0.944043935081021	1.89040570180114	0	7
GO:0042254	2.55004462578095e-05	0.0100034525347656	-0.670906269066448	-2.23980195778724	0	47
GO:0016125	1.80404466814598e-05	0.0100034525347656	0.901675303675499	2.10689289587271	0	13
GO:0007596	3.09076017246442e-05	0.0100034525347656	0.586229414028838	2.00244994958646	1	86
GO:0006364	2.91630212890055e-05	0.0100034525347656	-0.563938779335597	-2.15478996295588	0	100
GO:0042157	3.20338277220745e-05	0.0100034525347656	0.647378079185421	2.09198783083605	1	61
GO:0007520	1.66422580215684e-05	0.0100034525347656	0.685753172584311	2.06942790847491	0	42
GO:0007093	2.30202578268877e-05	0.0100034525347656	-0.798287216646751	-2.13712019253792	0	18
GO:0009968	2.42694883991845e-05	0.0100034525347656	-0.725021583095804	-2.21060043123103	0	31
GO:0060291	2.19814037324424e-05	0.0100034525347656	-0.940427966786515	-2.14964438599208	0	10
GO:0046599	2.04540805890775e-05	0.0100034525347656	-0.997496159447758	-1.64058906390466	0	3
GO:0061304	1.87888694737238e-05	0.0100034525347656	0.947593757196264	1.89751406161118	0	7
GO:0071603	1.97831763868007e-05	0.0100034525347656	0.99962093628737	1.47680431003266	0	2
GO:0046466	1.97831763868007e-05	0.0100034525347656	0.99962093628737	1.47680431003266	0	2
GO:0046427	1.93412374523722e-05	0.0100034525347656	0.991438570807908	1.7198905109178	0	4
GO:0002930	1.97831763868007e-05	0.0100034525347656	0.99962093628737	1.47680431003266	0	2
GO:0032735	3.75777389474475e-05	0.0111170774012422	0.941394792882951	1.88510091318907	1	7
GO:0019882	4.48722263355096e-05	0.0120107992491381	-0.842771523414088	-2.07075873826574	1	13
GO:0002755	4.45176512487201e-05	0.0120107992491381	-0.862224761749128	-2.07489347131212	1	12
