pathway	Ontology	Description	pval	padj	ES	NES	nMoreExtreme	size

GO:0000398	BP	mRNA splicing, via spliceosome	3.1804592583169e-05	0.0100034525347656	-0.46685319971259	-1.87200366433737	0	138
GO:0001731	BP	formation of translation preinitiation complex	2.40552308099396e-05	0.0100034525347656	-0.727814469189253	-2.18585184973507	0	29
GO:0007586	BP	digestion	1.87888694737238e-05	0.0100034525347656	0.944043935081021	1.89040570180114	0	7
GO:0042254	BP	ribosome biogenesis	2.55004462578095e-05	0.0100034525347656	-0.670906269066448	-2.23980195778724	0	47
GO:0016125	BP	sterol metabolic process	1.80404466814598e-05	0.0100034525347656	0.901675303675499	2.10689289587271	0	13
GO:0007596	BP	blood coagulation	3.09076017246442e-05	0.0100034525347656	0.586229414028838	2.00244994958646	1	86
GO:0006364	BP	rRNA processing	2.91630212890055e-05	0.0100034525347656	-0.563938779335597	-2.15478996295588	0	100
GO:0042157	BP	lipoprotein metabolic process	3.20338277220745e-05	0.0100034525347656	0.647378079185421	2.09198783083605	1	61
GO:0007520	BP	myoblast fusion	1.66422580215684e-05	0.0100034525347656	0.685753172584311	2.06942790847491	0	42
GO:0007093	BP	mitotic cell cycle checkpoint	2.30202578268877e-05	0.0100034525347656	-0.798287216646751	-2.13712019253792	0	18
GO:0009968	BP	negative regulation of signal transduction	2.42694883991845e-05	0.0100034525347656	-0.725021583095804	-2.21060043123103	0	31
GO:0060291	BP	long-term synaptic potentiation	2.19814037324424e-05	0.0100034525347656	-0.940427966786515	-2.14964438599208	0	10
GO:0046599	BP	regulation of centriole replication	2.04540805890775e-05	0.0100034525347656	-0.997496159447758	-1.64058906390466	0	3
GO:0061304	BP	retinal blood vessel morphogenesis	1.87888694737238e-05	0.0100034525347656	0.947593757196264	1.89751406161118	0	7
GO:0071603	BP	endothelial cell-cell adhesion	1.97831763868007e-05	0.0100034525347656	0.99962093628737	1.47680431003266	0	2
GO:0046466	BP	membrane lipid catabolic process	1.97831763868007e-05	0.0100034525347656	0.99962093628737	1.47680431003266	0	2
GO:0046427	BP	positive regulation of JAK-STAT cascade	1.93412374523722e-05	0.0100034525347656	0.991438570807908	1.7198905109178	0	4
GO:0002930	BP	trabecular meshwork development	1.97831763868007e-05	0.0100034525347656	0.99962093628737	1.47680431003266	0	2
GO:0032735	BP	positive regulation of interleukin-12 production	3.75777389474475e-05	0.0111170774012422	0.941394792882951	1.88510091318907	1	7
GO:0019882	BP	antigen processing and presentation	4.48722263355096e-05	0.0120107992491381	-0.842771523414088	-2.07075873826574	1	13
GO:0002755	BP	MyD88-dependent toll-like receptor signaling pathway	4.45176512487201e-05	0.0120107992491381	-0.862224761749128	-2.07489347131212	1	12
GO:0006614	BP	SRP-dependent cotranslational protein targeting to membrane	4.81104616198793e-05	0.0122922229438791	-0.707629173686697	-2.12522916719778	1	29
GO:0006412	BP	translation	5.51328702172235e-05	0.0134739940648267	-0.613289102418201	-2.82112518708153	0	489
GO:0097267	BP	omega-hydroxylase P450 pathway	5.80237123571166e-05	0.013589636964973	0.984651395247028	1.70811650979782	2	4
GO:0007195	BP	adenylate cyclase-inhibiting dopamine receptor signaling pathway	7.51554778948951e-05	0.0150874621874002	0.936089090305451	1.87447648138897	3	7
GO:0051220	BP	cytoplasmic sequestering of protein	7.33810310034856e-05	0.0150874621874002	0.894001676312914	1.95992282398518	3	10
GO:0016479	BP	negative regulation of transcription from RNA polymerase I promoter	7.51554778948951e-05	0.0150874621874002	0.936089090305451	1.87447648138897	3	7
GO:2001046	BP	positive regulation of integrin-mediated signaling pathway	7.33810310034856e-05	0.0150874621874002	0.899299831601045	1.97153798730014	3	10
GO:0044319	BP	wound healing, spreading of cells	8.74508089199825e-05	0.0169503792048007	0.787206582967136	2.07944601850969	4	22
GO:2000377	BP	regulation of reactive oxygen species metabolic process	9.6706187261861e-05	0.0181195159532974	0.980361438450567	1.70067453991312	4	4
GO:0006542	BP	glutamine biosynthetic process	0.000103521812045798	0.0187708421132074	-0.9735341634836	-1.72695758606622	4	4
GO:0006413	BP	translational initiation	0.000108719286801479	0.0190972222222222	-0.571165136859309	-2.04538272671858	3	68
GO:0032755	BP	positive regulation of interleukin-6 production	0.000113798008534851	0.0193835941204362	0.945601355584109	1.81816593179615	5	6
GO:0060402	BP	calcium ion transport into cytosol	0.000124226174454958	0.0205375096062152	-0.971350192029528	-1.72308342713905	5	4
GO:0000387	BP	spliceosomal snRNP assembly	0.000144899536321484	0.0232708655332303	-0.667271127606795	-2.0200290075004	5	30
GO:0000027	BP	ribosomal large subunit assembly	0.000157990362587882	0.0240017250839591	-0.5608272422175	-1.94333092595059	5	57
GO:0006725	BP	cellular aromatic compound metabolic process	0.000156519017060573	0.0240017250839591	0.989017018135387	1.59847610185619	7	3
GO:0009408	BP	response to heat	0.000168191603875135	0.0248790790890035	0.665426655995831	1.95931079330252	9	37
GO:0071379	BP	cellular response to prostaglandin stimulus	0.000181567288837243	0.0248924324525401	0.855725499582678	1.96132300828971	9	12
GO:0045540	BP	regulation of cholesterol biosynthetic process	0.000181567288837243	0.0248924324525401	0.855725499582678	1.96132300828971	9	12
GO:0060292	BP	long term synaptic depression	0.000175851229859539	0.0248924324525401	-0.87447310729866	-1.99888377653102	7	10
GO:0048514	BP	blood vessel morphogenesis	0.000190304833742777	0.0252552029042809	0.738442066214927	2.00636505677355	10	25
GO:0007613	BP	memory	0.000193199381761978	0.0252552029042809	-0.659513831384328	-1.9965453548428	7	30
GO:0016525	BP	negative regulation of angiogenesis	0.000204095516701816	0.0260732022586571	0.698403429943904	1.99756654611629	11	32
GO:0019433	BP	triglyceride catabolic process	0.000225757154765213	0.0281995770430058	0.74379865305678	2.00233983096285	12	24
GO:0008203	BP	cholesterol metabolic process	0.000238110356213093	0.028745256361992	0.573905700233315	1.87929320015552	14	66
GO:0010977	BP	negative regulation of neuron projection development	0.000240353504538984	0.028745256361992	0.890776606654048	1.90178216127294	12	9
GO:0006695	BP	cholesterol biosynthetic process	0.00029522089469297	0.031626791482119	0.738099880819906	1.98699847669905	16	24
GO:0006633	BP	fatty acid biosynthetic process	0.000299840611043603	0.031626791482119	0.558743586326827	1.85116197840467	18	71
GO:0043248	BP	proteasome assembly	0.000282898769390353	0.031626791482119	-0.70157250160047	-2.0156123545966	11	24
GO:0032733	BP	positive regulation of interleukin-10 production	0.000296127080821541	0.031626791482119	-0.920364027984481	-1.82643925427647	13	6
GO:0042789	BP	mRNA transcription from RNA polymerase II promoter	0.00030062191157958	0.031626791482119	0.919332205660822	1.84092157033082	15	7
GO:0006952	BP	defense response	0.000309459799237955	0.031626791482119	0.970410391359954	1.68341203674977	15	4
GO:0034374	BP	low-density lipoprotein particle remodeling	0.000286902883373978	0.031626791482119	0.821486062197245	1.98562637428203	15	15
GO:0010886	BP	positive regulation of cholesterol storage	0.000304834313584852	0.031626791482119	0.81764890442207	1.97635152224097	16	15
GO:0009566	BP	fertilization	0.000332313073895934	0.0333559247923043	0.750532625377328	1.9825699039761	18	22
GO:0071356	BP	cellular response to tumor necrosis factor	0.000358398470833191	0.0353431193781293	0.697479452183967	1.97016859897347	20	30
GO:0010269	BP	response to selenium ion	0.000376560034428346	0.0364938612676161	0.812242820059273	1.96328439403718	20	15
GO:0043542	BP	endothelial cell migration	0.000418417336424973	0.0396203386309338	0.737699922641501	1.96782249305005	23	23
GO:0048167	BP	regulation of synaptic plasticity	0.000422917686862841	0.0396203386309338	-0.813212418450869	-1.95694813311867	18	12
GO:0030199	BP	collagen fibril organization	0.000446939359267735	0.0411843629253104	0.792732571040073	1.94518602029767	24	16
GO:0006955	BP	immune response	0.000529790528975467	0.041452061284325	-0.339361282946795	-1.48201144254972	12	279
GO:0044257	BP	cellular protein catabolic process	0.000537942906326209	0.041452061284325	0.801212977148291	1.93662399406684	29	15
GO:0071360	BP	cellular response to exogenous dsRNA	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0002282	BP	microglial cell activation involved in immune response	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0002756	BP	MyD88-independent toll-like receptor signaling pathway	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0045080	BP	positive regulation of chemokine biosynthetic process	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0050729	BP	positive regulation of inflammatory response	0.000581467059010096	0.041452061284325	0.759308411594083	1.94256830811568	32	19
GO:0045356	BP	positive regulation of interferon-alpha biosynthetic process	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0045078	BP	positive regulation of interferon-gamma biosynthetic process	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0032757	BP	positive regulation of interleukin-8 production	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0034123	BP	positive regulation of toll-like receptor signaling pathway	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0034346	BP	positive regulation of type III interferon production	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0002730	BP	regulation of dendritic cell cytokine production	0.000586946313977148	0.041452061284325	0.980976797079185	1.58548127873756	29	3
GO:0034383	BP	low-density lipoprotein particle clearance	0.00058995995423341	0.041452061284325	0.784702292238994	1.92548153654919	32	16
GO:0009743	BP	response to carbohydrate	0.000504368188777808	0.041452061284325	0.814616035921858	1.93672706054276	27	14
GO:0034379	BP	very-low-density lipoprotein particle assembly	0.000567546955642658	0.041452061284325	0.780859170221004	1.94581676849306	31	17
GO:0001523	BP	retinoid metabolic process	0.000513667217024399	0.041452061284325	0.858348566640839	1.88176039404373	27	10
GO:0090036	BP	regulation of protein kinase C signaling	0.00048912192831429	0.041452061284325	0.981704703341875	1.58665774056174	24	3
GO:0010518	BP	positive regulation of phospholipase activity	0.000586946313977148	0.041452061284325	0.980859221427052	1.5852912497829	29	3
GO:0046686	BP	response to cadmium ion	0.000597907324364724	0.0414918156821495	0.749918328284944	1.93842145422609	33	20
GO:0042742	BP	defense response to bacterium	0.0006132846898981	0.0420399175843564	0.53496385201793	1.78079551118372	38	73
GO:0006642	BP	triglyceride mobilization	0.000663462917802324	0.0449316272405646	0.796072990472723	1.92420005460381	36	15
GO:0010739	BP	positive regulation of protein kinase A signaling	0.000672627997151223	0.045010023476036	0.995052221014095	1.47005465307575	33	2
GO:0033137	BP	negative regulation of peptidyl-serine phosphorylation	0.000691010386749876	0.0456961103990712	-0.864068487514631	-1.85689910033088	31	8
GO:0019835	BP	cytolysis	0.00076200776756305	0.0463014105459117	-0.599802865577536	-1.88954850114788	30	36
GO:0010884	BP	positive regulation of lipid storage	0.000721617867258393	0.0463014105459117	0.813790555414134	1.90153765212516	39	13
GO:0061138	BP	morphogenesis of a branching epithelium	0.000766061409138906	0.0463014105459117	-0.953214624170782	-1.69091264395954	36	4
GO:0051450	BP	myoblast proliferation	0.000766061409138906	0.0463014105459117	-0.953214624170782	-1.69091264395954	36	4
GO:0090201	BP	negative regulation of release of cytochrome c from mitochondria	0.000766061409138906	0.0463014105459117	-0.953214624170782	-1.69091264395954	36	4
GO:0060665	BP	regulation of branching involved in salivary gland morphogenesis by mesenchymal-epithelial signaling	0.000766061409138906	0.0463014105459117	-0.953214624170782	-1.69091264395954	36	4
GO:0043113	BP	receptor clustering	0.000709433694553323	0.0463014105459117	0.774164377254355	1.9291340670369	39	17
GO:0030212	BP	hyaluronan metabolic process	0.000749664394428076	0.0463014105459117	0.719270584725568	1.91866203556602	42	23
GO:0050707	BP	regulation of cytokine secretion	0.000795594916567217	0.047574883255578	-0.928310412985104	-1.75178227498571	37	5
GO:0042177	BP	negative regulation of protein catabolic process	0.000864631180761956	0.0503910029513322	0.799650074973234	1.90114590294447	47	14
GO:0021589	BP	cerebellum structural organization	0.000869583221184704	0.0503910029513322	-0.95094019651853	-1.68687802428686	41	4
GO:0035437	BP	maintenance of protein localization in endoplasmic reticulum	0.000869583221184704	0.0503910029513322	-0.95094019651853	-1.68687802428686	41	4
GO:1900026	BP	positive regulation of substrate adhesion-dependent cell spreading	0.000963326009802265	0.0552536275622299	0.640501081460086	1.86437018308425	56	35
GO:0006891	BP	intra-Golgi vesicle-mediated transport	0.00112656739811912	0.0627883013536008	-0.593701611234232	-1.85996178986786	45	35
GO:0046688	BP	response to copper ion	0.00113937141755333	0.0627883013536008	0.726333771959264	1.89965435868986	64	21
GO:0045454	BP	cell redox homeostasis	0.00113573407202216	0.0627883013536008	-0.469683823552044	-1.72400650341404	40	78
GO:0042158	BP	lipoprotein biosynthetic process	0.00112968010328504	0.0627883013536008	0.781560263156881	1.88912112210917	62	15
GO:0034394	BP	protein localization to cell surface	0.00117207025527001	0.0639631738337156	0.683374876131903	1.88714748973651	67	27
GO:0045184	BP	establishment of protein localization	0.00124061044831923	0.0657874653773809	0.648652028655178	1.86549037171665	72	33
GO:2000573	BP	positive regulation of DNA biosynthetic process	0.00122681219197496	0.0657874653773809	-0.893814552924401	-1.77375248908819	57	6
GO:0034329	BP	cell junction assembly	0.00123281175912755	0.0657874653773809	0.911320028617543	1.75225111428949	64	6
GO:0006281	BP	DNA repair	0.00128046096594774	0.0672660849494603	-0.329721203147632	-1.43514006831207	31	269
GO:0006457	BP	protein folding	0.00135505833360875	0.067571490600094	-0.378318146610988	-1.54608271633629	40	159
GO:0050900	BP	leukocyte migration	0.00134802289974704	0.067571490600094	0.604172204343626	1.82323738508083	80	42
GO:0050913	BP	sensory perception of bitter taste	0.00137042339946819	0.067571490600094	-0.971340502364184	-1.59757066772927	66	3
GO:0050916	BP	sensory perception of sweet taste	0.00137042339946819	0.067571490600094	-0.971340502364184	-1.59757066772927	66	3
GO:0050917	BP	sensory perception of umami taste	0.00137042339946819	0.067571490600094	-0.971340502364184	-1.59757066772927	66	3
GO:0003433	BP	chondrocyte development involved in endochondral bone morphogenesis	0.00134083131541556	0.067571490600094	0.999271805921315	1.33355321043191	66	1
GO:0032964	BP	collagen biosynthetic process	0.00134083131541556	0.067571490600094	0.999271805921315	1.33355321043191	66	1
GO:0070836	BP	caveola assembly	0.00139683012683218	0.0676860529562384	0.864048130734447	1.78924750098572	74	8
GO:0033629	BP	negative regulation of cell adhesion mediated by integrin	0.00139037634105556	0.0676860529562384	0.884340880753284	1.77085300925997	73	7
GO:0006935	BP	chemotaxis	0.00145114216301707	0.0677996411862774	0.569880539448759	1.7838079895522	88	51
GO:0002474	BP	antigen processing and presentation of peptide antigen via MHC class I	0.00145812448737811	0.0677996411862774	-0.408540217578835	-1.60415557987743	47	119
GO:0043666	BP	regulation of phosphoprotein phosphatase activity	0.00145948346976331	0.0677996411862774	-0.890838125709161	-1.76784584417583	68	6
GO:0071470	BP	cellular response to osmotic stress	0.00145918634027354	0.0677996411862774	-0.828216804359396	-1.83986657033812	66	9
GO:0071318	BP	cellular response to ATP	0.00142860100623201	0.0677996411862774	-0.942301361663923	-1.67155354781081	68	4
GO:0006749	BP	glutathione metabolic process	0.001560034428346	0.0718766682109254	0.773098906648688	1.86866904943501	86	15
GO:0033344	BP	cholesterol efflux	0.0015745066830963	0.0719536753307668	0.66121803625168	1.85470772683355	91	29
GO:0008631	BP	intrinsic apoptotic signaling pathway in response to oxidative stress	0.00161396165510881	0.0731619230916663	0.750033745164496	1.86900313646015	90	17
GO:0042572	BP	retinol metabolic process	0.00170348587003299	0.0766023526036437	0.771269231302921	1.86424651350882	94	15
GO:0006809	BP	nitric oxide biosynthetic process	0.00174490279753438	0.0778420525788947	0.904351782811942	1.73885283915663	91	6
GO:0008152	BP	metabolic process	0.00177584846093133	0.0781091561909213	0.412505317090172	1.55330941465333	125	179
GO:0009409	BP	response to cold	0.00178869130313976	0.0781091561909213	0.68941150469193	1.85592715191876	102	24
GO:0030317	BP	sperm motility	0.00179257803747178	0.0781091561909213	0.671141793433025	1.85336569278547	103	27
GO:0033280	BP	response to vitamin D	0.00180856354840168	0.0781995054274296	-0.72846510401059	-1.86023571215628	79	15
GO:0006446	BP	regulation of translational initiation	0.00194206624907683	0.0831466911694328	-0.469424110036771	-1.69825252625237	70	72
GO:0008210	BP	estrogen metabolic process	0.0019525641761902	0.0831466911694328	0.922510737720097	1.69308100342163	101	5
GO:0071407	BP	cellular response to organic cyclic compound	0.00198525730661004	0.083277099406381	0.670302148495467	1.83617783557779	114	26
GO:0035729	BP	cellular response to hepatocyte growth factor stimulus	0.00198187995469989	0.083277099406381	-0.820838529192668	-1.82347588404128	90	9
GO:0050819	BP	negative regulation of coagulation	0.0020293978188715	0.084498112147235	0.901649706005616	1.73365738975784	106	6
GO:0048012	BP	hepatocyte growth factor receptor signaling pathway	0.00207288956575079	0.085263934904289	-0.880546554038269	-1.74742247916331	97	6
GO:0034504	BP	protein localization to nucleus	0.00207812828355944	0.085263934904289	-0.657313893119379	-1.848122287689	88	22
GO:0019373	BP	epoxygenase P450 pathway	0.00225562519644277	0.0860659783562453	0.836503669194579	1.78591101745384	121	9
GO:0030334	BP	regulation of cell migration	0.00224364038552694	0.0860659783562453	0.513429958287066	1.69750516441838	141	70
GO:0006096	BP	glycolytic process	0.00216294160057678	0.0860659783562453	0.533790153998677	1.72072620731666	134	60
GO:0046330	BP	positive regulation of JNK cascade	0.00220113725424803	0.0860659783562453	0.594460702374808	1.78569095813373	131	41
GO:0001525	BP	angiogenesis	0.00216857843976488	0.0860659783562453	0.417246902057125	1.55659837119068	151	165
GO:0060338	BP	regulation of type I interferon-mediated signaling pathway	0.00216071998947823	0.0860659783562453	0.875478611305946	1.75310671158082	114	7
GO:0001561	BP	fatty acid alpha-oxidation	0.00219696419493064	0.0860659783562453	0.794273754845648	1.82047559762932	120	12
GO:0045903	BP	positive regulation of translational fidelity	0.00217615896951179	0.0860659783562453	-0.798302058081186	-1.82477084698366	98	10
GO:0003278	BP	apoptotic process involved in heart morphogenesis	0.00228141447697573	0.0860659783562453	0.998753092331019	1.33286097417594	113	1
GO:0003181	BP	atrioventricular valve morphogenesis	0.00228141447697573	0.0860659783562453	0.998753092331019	1.33286097417594	113	1
GO:0060591	BP	chondroblast differentiation	0.00228141447697573	0.0860659783562453	0.998753092331019	1.33286097417594	113	1
GO:0002041	BP	intussusceptive angiogenesis	0.00228141447697573	0.0860659783562453	0.998753092331019	1.33286097417594	113	1
GO:0032722	BP	positive regulation of chemokine production	0.00246134190105781	0.0922346855056398	0.872567935924132	1.74727821448084	130	7
GO:0002181	BP	cytoplasmic translation	0.00273720580646609	0.101892939325469	-0.741941200005396	-1.82301036580665	121	13
GO:0007173	BP	epidermal growth factor receptor signaling pathway	0.00275574781703116	0.101908279470606	0.528304933271309	1.70304404703739	171	60
GO:0006936	BP	muscle contraction	0.00278093572365544	0.102167579755995	0.690928819735081	1.82512343565055	158	22
GO:0050688	BP	regulation of defense response to virus	0.0028331323340799	0.103305647552757	0.914786066083052	1.67890393829752	147	5
GO:0060216	BP	definitive hemopoiesis	0.00284867023139608	0.103305647552757	-0.647866918978116	-1.82156090865161	121	22
GO:0045445	BP	myoblast differentiation	0.00286843102235211	0.103355453696418	0.773635916784811	1.8077106142551	158	13
GO:0042993	BP	positive regulation of transcription factor import into nucleus	0.00300343249427918	0.106849962343945	0.739945664040375	1.81565891708322	167	16
GO:0006021	BP	inositol biosynthetic process	0.00300186115391543	0.106849962343945	0.998413933445056	1.33240835816241	149	1
GO:0071467	BP	cellular response to pH	0.00308818241428179	0.108491708441737	-0.871063316141776	-1.72860323218587	145	6
GO:0071502	BP	cellular response to temperature stimulus	0.00308818241428179	0.108491708441737	-0.871063316141776	-1.72860323218587	145	6
