pathway	Ontology	Description	pval	padj	ES	NES	nMoreExtreme	size

GO:0030246	MF	carbohydrate binding	1.2896236878079e-05	0.00433812104146455	0.570551607385793	2.28781962330654	0	334
GO:0005506	MF	iron ion binding	1.32182464674236e-05	0.00433812104146455	0.496776009787388	1.96328824581238	0	284
GO:0070330	MF	aromatase activity	1.67709259228202e-05	0.00433812104146455	0.76756981423277	2.27499514171045	0	38
GO:0004866	MF	endopeptidase inhibitor activity	1.31866972598043e-05	0.00433812104146455	0.601333686656036	2.37926596589123	0	287
GO:0004252	MF	serine-type endopeptidase activity	1.36319642297259e-05	0.00433812104146455	0.487695815179138	1.88689219277063	0	230
GO:0019825	MF	oxygen binding	1.77468588059913e-05	0.00433812104146455	0.839584998893069	2.09448083614639	0	17
GO:0004867	MF	serine-type endopeptidase inhibitor activity	1.55921103921416e-05	0.00433812104146455	0.638243889253192	2.15399046142249	0	79
GO:0005544	MF	calcium-dependent phospholipid binding	1.67254846209169e-05	0.00433812104146455	0.760297946122445	2.27534098894561	0	40
GO:0005201	MF	extracellular matrix structural constituent	1.6901027582477e-05	0.00433812104146455	0.745686774936645	2.18542557585197	0	36
GO:0019843	MF	rRNA binding	2.69229733731793e-05	0.00538459467463587	-0.61836339472274	-2.19641763932886	0	65
GO:0004298	MF	threonine-type endopeptidase activity	2.54699200244511e-05	0.00538459467463587	-0.62135807076551	-2.06428747313527	0	46
GO:0003840	MF	gamma-glutamyltransferase activity	3.63821581896238e-05	0.00667006233476436	0.888061673121205	1.99589741955846	1	11
GO:0004222	MF	metalloendopeptidase activity	4.35945129039758e-05	0.00737753295298052	0.508523390563899	1.863381314289	2	142
GO:0003735	MF	structural constituent of ribosome	5.30250808632483e-05	0.00762040235724446	-0.641417407646843	-2.93480175098363	0	457
GO:0001716	MF	L-amino-acid oxidase activity	5.5421108052687e-05	0.00762040235724446	0.921805268246913	1.96745350157395	2	9
GO:0031267	MF	small GTPase binding	5.29343261460282e-05	0.00762040235724446	0.800954503917649	2.05007630306191	2	19
GO:0070679	MF	inositol 1,4,5 trisphosphate binding	6.31485886290442e-05	0.00782022024583929	-0.957308062006488	-1.81256724654227	2	5
GO:0000822	MF	inositol hexakisphosphate binding	6.39836201932305e-05	0.00782022024583929	-0.94187174299345	-1.87249205163533	2	6
GO:0005543	MF	phospholipid binding	7.83097620949428e-05	0.00835386993024519	0.582315582622293	1.95393238874044	4	76
GO:0008201	MF	heparin binding	7.72797527047914e-05	0.00835386993024519	0.580136926747097	1.97883648269354	4	85
GO:0043533	MF	inositol 1,3,4,5 tetrakisphosphate binding	8.35386993024519e-05	0.00835386993024519	-0.971350192029528	-1.72657134700008	3	4
GO:0004356	MF	glutamate-ammonia ligase activity	8.35386993024519e-05	0.00835386993024519	-0.9735341634836	-1.73045334812203	3	4
GO:0003743	MF	translation initiation factor activity	9.90818416011626e-05	0.00908250214677324	-0.425218231524423	-1.73621717881045	2	158
GO:0004859	MF	phospholipase inhibitor activity	9.52471663967997e-05	0.00908250214677324	0.970801072682058	1.7852965278269	4	5
GO:0003755	MF	peptidyl-prolyl cis-trans isomerase activity	0.00010576134951482	0.00930699875730414	-0.566297527452152	-1.96858785186554	3	58
GO:0034988	MF	Fc-gamma receptor I complex binding	0.000112309074573226	0.00950307554081139	0.936089090305451	1.87562077130012	5	7
GO:0004869	MF	cysteine-type endopeptidase inhibitor activity	0.000129741651935583	0.010571542009566	0.629495953046053	1.99338730572017	7	54
GO:0020037	MF	heme binding	0.000136537411250683	0.0107279394554108	0.428888704976307	1.65723677124396	9	227
GO:0005096	MF	GTPase activator activity	0.000165190540935487	0.0121139730019357	0.385928396684633	1.56013231788869	12	368
GO:0005102	MF	receptor binding	0.000163532297628782	0.0121139730019357	0.504959203344854	1.81164349805824	10	121
GO:0047750	MF	cholestenol delta-isomerase activity	0.000172678434382195	0.012254598569059	0.976497580926729	1.69819348185698	8	4
GO:0005509	MF	calcium ion binding	0.000194110460270156	0.0132192699186071	0.332190424318944	1.41040758796103	16	780
GO:0003746	MF	translation elongation factor activity	0.000198289048779106	0.0132192699186071	-0.498158097531679	-1.85521576832955	6	85
GO:0001664	MF	G-protein coupled receptor binding	0.000226468999878055	0.0146538764626977	0.733111432495393	1.9756222988346	12	24
GO:0097108	MF	hedgehog family protein binding	0.000303067038428901	0.0190499281298166	-0.996378944008299	-1.49071558478688	14	2
GO:0019900	MF	kinase binding	0.00037542662116041	0.0229427379598028	0.678644922011237	1.94300344896576	21	32
GO:0003774	MF	motor activity	0.000392162777719121	0.0233177867832991	0.504152965337344	1.77489751030384	25	105
GO:0005540	MF	hyaluronic acid binding	0.000459462846163485	0.0266004805673597	-0.954410166798351	-1.69646051527162	21	4
GO:0043022	MF	ribosome binding	0.000505440131946477	0.0279003087781209	-0.519604396612154	-1.82417984216055	18	61
GO:0070008	MF	serine-type exopeptidase activity	0.000507278341420379	0.0279003087781209	-0.831986403022514	-1.90581846425421	22	10
