pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0030246	2.61458415039088e-05	0.00359505320678746	0.46195753586022	2.03704405158054	0	334
GO:0070330	2.16258298912221e-05	0.00359505320678746	0.789930011903648	2.50376087137431	0	38
GO:0003707	2.34587595007976e-05	0.00359505320678746	0.566868666369667	2.24443979282383	0	133
GO:0001716	2.07744723284029e-05	0.00359505320678746	0.925582846979799	2.05613507991119	0	9
GO:0005102	2.33062204302328e-05	0.00359505320678746	0.488439166015583	1.90726393379584	0	121
GO:0004866	2.55996723241943e-05	0.00359505320678746	0.688096090826926	2.98939222147374	0	287
GO:0004252	1.67467720596855e-05	0.00359505320678746	-0.545958488262323	-2.23225382632587	0	230
GO:0004222	1.73686495874946e-05	0.00359505320678746	-0.486094883445963	-1.87349960830036	0	142
GO:0019825	1.89440581961468e-05	0.00359505320678746	-0.879690929367742	-2.25819965514899	0	17
GO:0005344	1.90603259315734e-05	0.00359505320678746	-0.917394947922902	-2.20415894306588	0	13
GO:0001848	2.19611288020204e-05	0.00359505320678746	0.653127901842786	2.13246123077163	0	44
GO:0035473	2.08441896821261e-05	0.00359505320678746	0.901062128550732	2.11655812987827	0	11
GO:0050750	2.11797098379752e-05	0.00359505320678746	0.844811546602046	2.21823041176635	0	17
GO:0051033	1.94654779748117e-05	0.00359505320678746	-0.988617659088415	-1.93188243889592	0	6
GO:0047750	2.04231680418266e-05	0.00359505320678746	0.996139458327099	1.76469871862043	0	4
GO:0035014	2.05638610705546e-05	0.00359505320678746	0.971137837599992	1.92968282487923	0	6
GO:0003995	4.31480842250604e-05	0.00499609396290173	0.664007225795924	2.09274097088221	1	37
GO:0017127	4.27734291458146e-05	0.00499609396290173	0.729904835530654	2.10337381005031	1	25
GO:0043533	3.91864884987656e-05	0.00499609396290173	-0.982812110329692	-1.72371334499263	1	4
GO:0005506	5.10920934985311e-05	0.00562013028483842	0.37907109085888	1.64508822319214	1	284
GO:0004850	5.75782584496094e-05	0.00603200802805432	-0.883019583196161	-1.98013969788581	2	10
GO:0004867	9.04281774200841e-05	0.00864965175322544	0.520220607451906	1.89932072912547	3	79
GO:0001872	8.75580071797566e-05	0.00864965175322544	0.628241286998884	2.03228009169838	3	42
GO:0008146	0.000111726850196639	0.0102416279346919	0.567457176606091	1.97493498728734	4	61
GO:0031957	0.000150108292410954	0.0132095297321639	0.654148111951842	1.99614420160127	6	32
GO:0015278	0.000156234742700908	0.013219862843923	-0.958735268495226	-1.78520386528901	7	5
GO:0004714	0.000198688654877806	0.0161894459530065	0.572189663345866	1.91829020583103	8	50
GO:0005543	0.000225815192846175	0.0177426222950566	0.509149269891791	1.84532232313819	9	76
GO:0047708	0.000253079129407795	0.0191991063688672	0.775764710577249	1.97563518219635	11	15
GO:0004716	0.00027483562715376	0.0197309689285532	0.770398233116528	1.99202729954979	12	16
GO:0016810	0.000278027289447795	0.0197309689285532	0.681535796923735	1.96398828460829	12	25
GO:0008201	0.000295669577874818	0.0203272834788937	0.483265115759355	1.78615487073588	12	85
GO:0004467	0.000329416932030306	0.0219611288020204	0.587696212500668	1.9188269021933	14	44
GO:0020037	0.000371867020353522	0.0240619836699337	0.374824546322315	1.58860430743936	14	227
GO:0005220	0.000397441235474469	0.0247580463650687	-0.732057710697148	-1.92908929001512	20	19
GO:0003867	0.000405131667792032	0.0247580463650687	-0.883361099749603	-1.86748813328709	20	8
GO:0008199	0.000491196251794756	0.0284376777354859	-0.716561551248742	-1.93366754721618	25	21
GO:0004613	0.000482299604514324	0.0284376777354859	-0.881293181784671	-1.86311640777052	24	8
GO:0070324	0.000504869890821886	0.0284798399950808	0.78727197062911	1.92983210720844	23	13
GO:0015020	0.000562162162162162	0.0296660017390415	0.607516729731097	1.90224420421778	25	36
GO:0004887	0.000556102151687556	0.0296660017390415	0.663365225342866	1.92955900084715	25	26
GO:0070679	0.000566350942290792	0.0296660017390415	-0.938302260801402	-1.74715677813872	28	5
GO:0043548	0.00059485872105375	0.0298847028882119	0.698823335019352	1.93304470989523	27	21
