pathway	Ontology	Description	pval	padj	ES	NES	nMoreExtreme	size

GO:0030246	MF	carbohydrate binding	2.61458415039088e-05	0.00359505320678746	0.46195753586022	2.03704405158054	0	334
GO:0070330	MF	aromatase activity	2.16258298912221e-05	0.00359505320678746	0.789930011903648	2.50376087137431	0	38
GO:0003707	MF	steroid hormone receptor activity	2.34587595007976e-05	0.00359505320678746	0.566868666369667	2.24443979282383	0	133
GO:0001716	MF	L-amino-acid oxidase activity	2.07744723284029e-05	0.00359505320678746	0.925582846979799	2.05613507991119	0	9
GO:0005102	MF	receptor binding	2.33062204302328e-05	0.00359505320678746	0.488439166015583	1.90726393379584	0	121
GO:0004866	MF	endopeptidase inhibitor activity	2.55996723241943e-05	0.00359505320678746	0.688096090826926	2.98939222147374	0	287
GO:0004252	MF	serine-type endopeptidase activity	1.67467720596855e-05	0.00359505320678746	-0.545958488262323	-2.23225382632587	0	230
GO:0004222	MF	metalloendopeptidase activity	1.73686495874946e-05	0.00359505320678746	-0.486094883445963	-1.87349960830036	0	142
GO:0019825	MF	oxygen binding	1.89440581961468e-05	0.00359505320678746	-0.879690929367742	-2.25819965514899	0	17
GO:0005344	MF	oxygen transporter activity	1.90603259315734e-05	0.00359505320678746	-0.917394947922902	-2.20415894306588	0	13
GO:0001848	MF	complement binding	2.19611288020204e-05	0.00359505320678746	0.653127901842786	2.13246123077163	0	44
GO:0035473	MF	lipase binding	2.08441896821261e-05	0.00359505320678746	0.901062128550732	2.11655812987827	0	11
GO:0050750	MF	low-density lipoprotein particle receptor binding	2.11797098379752e-05	0.00359505320678746	0.844811546602046	2.21823041176635	0	17
GO:0051033	MF	RNA transmembrane transporter activity	1.94654779748117e-05	0.00359505320678746	-0.988617659088415	-1.93188243889592	0	6
GO:0047750	MF	cholestenol delta-isomerase activity	2.04231680418266e-05	0.00359505320678746	0.996139458327099	1.76469871862043	0	4
GO:0035014	MF	phosphatidylinositol 3-kinase regulator activity	2.05638610705546e-05	0.00359505320678746	0.971137837599992	1.92968282487923	0	6
GO:0003995	MF	acyl-CoA dehydrogenase activity	4.31480842250604e-05	0.00499609396290173	0.664007225795924	2.09274097088221	1	37
GO:0017127	MF	cholesterol transporter activity	4.27734291458146e-05	0.00499609396290173	0.729904835530654	2.10337381005031	1	25
GO:0043533	MF	inositol 1,3,4,5 tetrakisphosphate binding	3.91864884987656e-05	0.00499609396290173	-0.982812110329692	-1.72371334499263	1	4
GO:0005506	MF	iron ion binding	5.10920934985311e-05	0.00562013028483842	0.37907109085888	1.64508822319214	1	284
GO:0004850	MF	uridine phosphorylase activity	5.75782584496094e-05	0.00603200802805432	-0.883019583196161	-1.98013969788581	2	10
GO:0004867	MF	serine-type endopeptidase inhibitor activity	9.04281774200841e-05	0.00864965175322544	0.520220607451906	1.89932072912547	3	79
GO:0001872	MF	(1->3)-beta-D-glucan binding	8.75580071797566e-05	0.00864965175322544	0.628241286998884	2.03228009169838	3	42
GO:0008146	MF	sulfotransferase activity	0.000111726850196639	0.0102416279346919	0.567457176606091	1.97493498728734	4	61
GO:0031957	MF	very long-chain fatty acid-CoA ligase activity	0.000150108292410954	0.0132095297321639	0.654148111951842	1.99614420160127	6	32
GO:0015278	MF	calcium-release channel activity	0.000156234742700908	0.013219862843923	-0.958735268495226	-1.78520386528901	7	5
GO:0004714	MF	transmembrane receptor protein tyrosine kinase activity	0.000198688654877806	0.0161894459530065	0.572189663345866	1.91829020583103	8	50
GO:0005543	MF	phospholipid binding	0.000225815192846175	0.0177426222950566	0.509149269891791	1.84532232313819	9	76
GO:0047708	MF	biotinidase activity	0.000253079129407795	0.0191991063688672	0.775764710577249	1.97563518219635	11	15
GO:0004716	MF	receptor signaling protein tyrosine kinase activity	0.00027483562715376	0.0197309689285532	0.770398233116528	1.99202729954979	12	16
GO:0016810	MF	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	0.000278027289447795	0.0197309689285532	0.681535796923735	1.96398828460829	12	25
