pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0006412	1.62366656383445e-05	0.00815345495582397	0.574658095472027	2.47403873085025	0	489
GO:0008152	1.77932776996851e-05	0.00815345495582397	0.495201674032362	1.91820042852315	0	179
GO:0006886	2.46590881069218e-05	0.00815345495582397	-0.473991436354246	-2.07804522827316	0	343
GO:0015031	2.4452269170579e-05	0.00815345495582397	-0.493674317154105	-2.14886412415407	0	320
GO:0006914	2.16034046965802e-05	0.00815345495582397	-0.566449457926903	-2.09992316578061	0	92
GO:0006888	2.21057983509074e-05	0.00815345495582397	-0.518206683739986	-1.99570902886178	0	118
GO:0006891	2.04077467806779e-05	0.00815345495582397	-0.707835806991811	-2.18864804970437	0	35
GO:0006890	2.07589471062028e-05	0.00815345495582397	-0.703606661264875	-2.34218170848886	0	50
GO:0006606	2.07120813570556e-05	0.00815345495582397	-0.649102252545617	-2.15357089213144	0	49
GO:0006624	1.98011959922379e-05	0.00815345495582397	-0.87964124133383	-2.00043979774833	0	10
GO:0030968	2.05990194866724e-05	0.00815345495582397	-0.621803346292664	-2.00058243017285	0	42
GO:0019886	2.04922232012951e-05	0.00815345495582397	-0.676106769075685	-2.11704554330054	0	37
GO:0090074	1.97921820880752e-05	0.00815345495582397	-0.927770903778516	-1.91273908458377	0	7
GO:0017148	2.09003887472307e-05	0.00815345495582397	-0.56735213827541	-1.93497698682604	0	57
GO:0030433	2.11108530895734e-05	0.00815345495582397	-0.590374037815428	-2.05553036767402	0	64
GO:0021680	1.98066867374426e-05	0.00815345495582397	-0.957621139938221	-2.0488542358944	0	8
GO:0035646	1.97921820880752e-05	0.00815345495582397	-0.933451726326252	-1.92445095361888	0	7
GO:0007264	5.25859122341125e-05	0.0103651115618661	-0.338904351738791	-1.53808080097955	1	510
GO:0016192	4.64166357222429e-05	0.0103651115618661	-0.436658030688419	-1.817725713878	1	211
GO:0048208	6.12407373384776e-05	0.0103651115618661	-0.652609985065304	-2.03179892429407	2	36
GO:0042157	5.73033064007793e-05	0.0103651115618661	0.6517760975449	2.14624598007201	2	61
GO:0032438	3.96715198159242e-05	0.0103651115618661	-0.856315756423236	-1.99812920356968	1	11
GO:0009306	5.99712138173677e-05	0.0103651115618661	-0.765485203086265	-2.05851111184177	2	19
GO:0045454	4.27844093612288e-05	0.0103651115618661	-0.535644631374069	-1.93073116439114	1	78
GO:0016266	3.96314277221837e-05	0.0103651115618661	-0.845960279804411	-2.01965378279814	1	12
GO:0016925	6.26959247648903e-05	0.0103651115618661	-0.567981676453286	-1.92404046299556	2	55
GO:0006400	3.98875172014918e-05	0.0103651115618661	-0.820222686572953	-2.07421245584737	1	15
GO:0070537	3.9499930875121e-05	0.0103651115618661	-0.97807574976651	-1.72585681121122	1	4
GO:0042369	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0042359	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0070561	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0006766	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0021589	5.92498963126815e-05	0.0103651115618661	-0.973754301960198	-1.71823143032165	2	4
GO:0035437	5.92498963126815e-05	0.0103651115618661	-0.973754301960198	-1.71823143032165	2	4
GO:0045047	7.91420996399035e-05	0.0127102212021685	-0.953553329875105	-1.78999367893847	3	5
GO:0002474	8.84388334917863e-05	0.013808741196037	-0.47271735774254	-1.8230684427384	3	119
GO:0009166	9.91787995398104e-05	0.0146706324266651	-0.835491530158224	-1.94953790493976	4	11
GO:0006048	9.91787995398104e-05	0.0146706324266651	-0.838249669041827	-1.95597375270911	4	11
GO:0071391	0.000140407180824391	0.0202366349593308	0.842692831130414	2.14535237363889	6	17
GO:0008380	0.000177395392154689	0.0241852900427685	-0.44552273772695	-1.73255139464873	7	126
GO:0010501	0.000172547666292813	0.0241852900427685	-0.487223533539331	-1.79965024111421	7	90
GO:0008089	0.000180712005300886	0.0241852900427685	-0.705686057408946	-1.98672628157395	8	23
GO:0042787	0.000203905931396982	0.0266547730321497	-0.42606485191815	-1.71636435242998	8	163
GO:0006699	0.000258969302177334	0.0330833283531544	0.772968089361743	2.10465211867245	12	23
GO:0019752	0.000281497567056742	0.0351621738761321	-0.685245690997554	-1.96731165461226	13	25
GO:0006915	0.000293843968852539	0.035906455411307	-0.352977243770519	-1.5383992431401	11	324
GO:0007029	0.000302437647438353	0.0361702556649145	-0.670130682599585	-1.94032142442044	14	26
GO:0007030	0.000341202311645661	0.0377836490435335	-0.499943432766782	-1.79099550906827	15	75
GO:0006984	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0032470	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0055119	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0070296	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0033292	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0043525	0.000366099212886692	0.0381082162154833	-0.618821778856531	-1.90241364606657	17	34
