pathway	Ontology	Description	pval	padj	ES	NES	nMoreExtreme	size

GO:0006412	BP	translation	1.62366656383445e-05	0.00815345495582397	0.574658095472027	2.47403873085025	0	489
GO:0008152	BP	metabolic process	1.77932776996851e-05	0.00815345495582397	0.495201674032362	1.91820042852315	0	179
GO:0006886	BP	intracellular protein transport	2.46590881069218e-05	0.00815345495582397	-0.473991436354246	-2.07804522827316	0	343
GO:0015031	BP	protein transport	2.4452269170579e-05	0.00815345495582397	-0.493674317154105	-2.14886412415407	0	320
GO:0006914	BP	autophagy	2.16034046965802e-05	0.00815345495582397	-0.566449457926903	-2.09992316578061	0	92
GO:0006888	BP	ER to Golgi vesicle-mediated transport	2.21057983509074e-05	0.00815345495582397	-0.518206683739986	-1.99570902886178	0	118
GO:0006891	BP	intra-Golgi vesicle-mediated transport	2.04077467806779e-05	0.00815345495582397	-0.707835806991811	-2.18864804970437	0	35
GO:0006890	BP	retrograde vesicle-mediated transport, Golgi to ER	2.07589471062028e-05	0.00815345495582397	-0.703606661264875	-2.34218170848886	0	50
GO:0006606	BP	protein import into nucleus	2.07120813570556e-05	0.00815345495582397	-0.649102252545617	-2.15357089213144	0	49
GO:0006624	BP	vacuolar protein processing	1.98011959922379e-05	0.00815345495582397	-0.87964124133383	-2.00043979774833	0	10
GO:0030968	BP	endoplasmic reticulum unfolded protein response	2.05990194866724e-05	0.00815345495582397	-0.621803346292664	-2.00058243017285	0	42
GO:0019886	BP	antigen processing and presentation of exogenous peptide antigen via MHC class II	2.04922232012951e-05	0.00815345495582397	-0.676106769075685	-2.11704554330054	0	37
GO:0090074	BP	negative regulation of protein homodimerization activity	1.97921820880752e-05	0.00815345495582397	-0.927770903778516	-1.91273908458377	0	7
GO:0017148	BP	negative regulation of translation	2.09003887472307e-05	0.00815345495582397	-0.56735213827541	-1.93497698682604	0	57
GO:0030433	BP	ER-associated ubiquitin-dependent protein catabolic process	2.11108530895734e-05	0.00815345495582397	-0.590374037815428	-2.05553036767402	0	64
GO:0021680	BP	cerebellar Purkinje cell layer development	1.98066867374426e-05	0.00815345495582397	-0.957621139938221	-2.0488542358944	0	8
GO:0035646	BP	endosome to melanosome transport	1.97921820880752e-05	0.00815345495582397	-0.933451726326252	-1.92445095361888	0	7
GO:0007264	BP	small GTPase mediated signal transduction	5.25859122341125e-05	0.0103651115618661	-0.338904351738791	-1.53808080097955	1	510
GO:0016192	BP	vesicle-mediated transport	4.64166357222429e-05	0.0103651115618661	-0.436658030688419	-1.817725713878	1	211
GO:0048208	BP	COPII vesicle coating	6.12407373384776e-05	0.0103651115618661	-0.652609985065304	-2.03179892429407	2	36
GO:0042157	BP	lipoprotein metabolic process	5.73033064007793e-05	0.0103651115618661	0.6517760975449	2.14624598007201	2	61
GO:0032438	BP	melanosome organization	3.96715198159242e-05	0.0103651115618661	-0.856315756423236	-1.99812920356968	1	11
GO:0009306	BP	protein secretion	5.99712138173677e-05	0.0103651115618661	-0.765485203086265	-2.05851111184177	2	19
GO:0045454	BP	cell redox homeostasis	4.27844093612288e-05	0.0103651115618661	-0.535644631374069	-1.93073116439114	1	78
GO:0016266	BP	O-glycan processing	3.96314277221837e-05	0.0103651115618661	-0.845960279804411	-2.01965378279814	1	12
GO:0016925	BP	protein sumoylation	6.26959247648903e-05	0.0103651115618661	-0.567981676453286	-1.92404046299556	2	55
GO:0006400	BP	tRNA modification	3.98875172014918e-05	0.0103651115618661	-0.820222686572953	-2.07421245584737	1	15
GO:0070537	BP	histone H2A K63-linked deubiquitination	3.9499930875121e-05	0.0103651115618661	-0.97807574976651	-1.72585681121122	1	4
GO:0042369	BP	vitamin D catabolic process	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0042359	BP	vitamin D metabolic process	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0070561	BP	vitamin D receptor signaling pathway	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0006766	BP	vitamin metabolic process	5.93565747299276e-05	0.0103651115618661	-0.955132242341477	-1.79295758588091	2	5
GO:0021589	BP	cerebellum structural organization	5.92498963126815e-05	0.0103651115618661	-0.973754301960198	-1.71823143032165	2	4
GO:0035437	BP	maintenance of protein localization in endoplasmic reticulum	5.92498963126815e-05	0.0103651115618661	-0.973754301960198	-1.71823143032165	2	4
GO:0045047	BP	protein targeting to ER	7.91420996399035e-05	0.0127102212021685	-0.953553329875105	-1.78999367893847	3	5
GO:0002474	BP	antigen processing and presentation of peptide antigen via MHC class I	8.84388334917863e-05	0.013808741196037	-0.47271735774254	-1.8230684427384	3	119
GO:0009166	BP	nucleotide catabolic process	9.91787995398104e-05	0.0146706324266651	-0.835491530158224	-1.94953790493976	4	11
GO:0006048	BP	UDP-N-acetylglucosamine biosynthetic process	9.91787995398104e-05	0.0146706324266651	-0.838249669041827	-1.95597375270911	4	11
GO:0071391	BP	cellular response to estrogen stimulus	0.000140407180824391	0.0202366349593308	0.842692831130414	2.14535237363889	6	17
GO:0008380	BP	RNA splicing	0.000177395392154689	0.0241852900427685	-0.44552273772695	-1.73255139464873	7	126
GO:0010501	BP	RNA secondary structure unwinding	0.000172547666292813	0.0241852900427685	-0.487223533539331	-1.79965024111421	7	90
GO:0008089	BP	anterograde axonal transport	0.000180712005300886	0.0241852900427685	-0.705686057408946	-1.98672628157395	8	23
GO:0042787	BP	protein ubiquitination involved in ubiquitin-dependent protein catabolic process	0.000203905931396982	0.0266547730321497	-0.42606485191815	-1.71636435242998	8	163
GO:0006699	BP	bile acid biosynthetic process	0.000258969302177334	0.0330833283531544	0.772968089361743	2.10465211867245	12	23
GO:0019752	BP	carboxylic acid metabolic process	0.000281497567056742	0.0351621738761321	-0.685245690997554	-1.96731165461226	13	25
GO:0006915	BP	apoptotic process	0.000293843968852539	0.035906455411307	-0.352977243770519	-1.5383992431401	11	324
GO:0007029	BP	endoplasmic reticulum organization	0.000302437647438353	0.0361702556649145	-0.670130682599585	-1.94032142442044	14	26
GO:0007030	BP	Golgi organization	0.000341202311645661	0.0377836490435335	-0.499943432766782	-1.79099550906827	15	75
GO:0006984	BP	ER-nucleus signaling pathway	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0032470	BP	positive regulation of endoplasmic reticulum calcium ion concentration	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0055119	BP	relaxation of cardiac muscle	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0070296	BP	sarcoplasmic reticulum calcium ion transport	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0033292	BP	T-tubule organization	0.000356259277585354	0.0377836490435335	-0.891978509845029	-1.83894768788381	17	7
GO:0043525	BP	positive regulation of neuron apoptotic process	0.000366099212886692	0.0381082162154833	-0.618821778856531	-1.90241364606657	17	34
GO:0042147	BP	retrograde transport, endosome to Golgi	0.000388374652081041	0.0396918894426824	-0.475158527492782	-1.75885458093941	17	91
GO:0071569	BP	protein ufmylation	0.000435626311829235	0.0437259910498594	-0.826257916154128	-1.87903788614208	21	10
GO:0006996	BP	organelle organization	0.000455427507821472	0.0449115442362192	-0.825462110860037	-1.87722810221342	22	10
GO:0032868	BP	response to insulin	0.000502872173761677	0.0487352498054205	0.637232930991386	1.99268110353784	25	46
GO:0006811	BP	ion transport	0.000544434207220035	0.0518688928607427	-0.522829993664808	-1.7954517462275	25	59
GO:0048812	BP	neuron projection morphogenesis	0.000553880238783925	0.0518893470367407	-0.598758705194891	-1.8853420174819	26	38
GO:0006511	BP	ubiquitin-dependent protein catabolic process	0.000585260792209008	0.052218268460426	-0.371805048803125	-1.56364612497795	24	230
GO:0006895	BP	Golgi to endosome transport	0.000568285604107893	0.052218268460426	-0.624113672324255	-1.8942730927868	27	32
GO:0006491	BP	N-glycan processing	0.000583078655299984	0.052218268460426	-0.686680892669178	-1.91167568419499	28	22
GO:0042742	BP	defense response to bacterium	0.00060421819829686	0.0530673514472914	0.554558963859885	1.88349181092448	31	73
GO:0006635	BP	fatty acid beta-oxidation	0.000640453363350542	0.0545452781120211	0.634145902260389	1.96518708044344	32	44
GO:0045822	BP	negative regulation of heart contraction	0.000634819869861927	0.0545452781120211	-0.77212866084162	-1.8825885912641	31	13
GO:0090161	BP	Golgi ribbon formation	0.000653620662335605	0.0548358469102751	-0.85791465090662	-1.83552972385227	32	8
GO:0030516	BP	regulation of axon extension	0.000717760586968658	0.0584425036390102	-0.739617630863906	-1.90256050939621	35	16
GO:0006614	BP	SRP-dependent cotranslational protein targeting to membrane	0.000727802037845706	0.0584425036390102	-0.633976654186637	-1.88337173417287	35	29
GO:0031398	BP	positive regulation of protein ubiquitination	0.000727802037845706	0.0584425036390102	-0.63412143903088	-1.88380185045772	35	29
GO:0043066	BP	negative regulation of apoptotic process	0.000776196636481242	0.0610118458064261	-0.365465410433851	-1.53935414154848	32	234
GO:0008616	BP	queuosine biosynthetic process	0.000791687283523008	0.0610118458064261	-0.874584455287879	-1.80308723154125	39	7
GO:0033365	BP	protein localization to organelle	0.000792361633849689	0.0610118458064261	-0.902639830252915	-1.78383843779183	39	6
GO:0007076	BP	mitotic chromosome condensation	0.000842341709953671	0.0623000362059156	0.810719008313221	2.00558107072383	41	15
GO:0060402	BP	calcium ion transport into cytosol	0.00082949854837754	0.0623000362059156	-0.94976308045289	-1.67589788605624	41	4
GO:0001754	BP	eye photoreceptor cell differentiation	0.000831880842972588	0.0623000362059156	-0.851955398567261	-1.82277975532187	41	8
GO:0010898	BP	positive regulation of triglyceride catabolic process	0.000926224226804124	0.067614368556701	0.993585842967869	1.47984943142781	45	2
GO:0019433	BP	triglyceride catabolic process	0.000957586881059729	0.0681341247903385	0.730334018692692	2.00626323999807	47	24
GO:0001676	BP	long-chain fatty acid metabolic process	0.000954919826522898	0.0681341247903385	0.738194352077381	1.99070545032425	47	22
GO:0000381	BP	regulation of alternative mRNA splicing, via spliceosome	0.00101503915151013	0.0713191883829805	-0.546968641402835	-1.80671713195752	48	48
GO:0009225	BP	nucleotide-sugar metabolic process	0.00116734596968858	0.0810080456249319	-0.915735605123499	-1.71900290565253	58	5
GO:0000398	BP	mRNA splicing, via spliceosome	0.00125022325415253	0.0857012794096507	-0.407022112222346	-1.60379564167867	55	138
