pathway	pval	padj	ES	NES	nMoreExtreme	size
GO:0003735	1.63342643864034e-05	0.00338448521210723	0.60158205538983	2.57527392094332	0	457
GO:0030246	1.68787766262701e-05	0.00338448521210723	0.658516628503036	2.73593822097051	0	334
GO:0004386	2.20706702862566e-05	0.00338448521210723	-0.474198289646879	-1.85083678691899	0	129
GO:0004866	1.71144959780934e-05	0.00338448521210723	0.533794602880006	2.184977465632	0	287
GO:0016887	2.30760355370947e-05	0.00338448521210723	-0.428842557517312	-1.77237516673259	0	199
GO:0019843	1.90215323746481e-05	0.00338448521210723	0.660581650917377	2.20102983242595	0	65
GO:0019894	2.00565594977838e-05	0.00338448521210723	-0.811952471205664	-2.15357885908308	0	18
GO:0008233	1.88334557507957e-05	0.00338448521210723	0.730628039488162	2.49972884257073	0	76
GO:0004867	1.8822112217433e-05	0.00338448521210723	0.749794951583932	2.58093045643814	0	79
GO:0003977	1.99576896978406e-05	0.00338448521210723	-0.994363808668762	-1.75473626987331	0	4
GO:0005047	1.9970842569848e-05	0.00338448521210723	-0.908937639042688	-2.07070273152734	0	10
GO:0005319	1.98031566231657e-05	0.00338448521210723	0.92182806429994	2.59362321817068	0	27
GO:0045735	2.00284403853472e-05	0.00338448521210723	0.998603338022127	2.239075492954	0	10
GO:0004004	2.19288627691768e-05	0.00338448521210723	-0.482339892604891	-1.85780638115056	0	118
GO:0004129	1.92100814507454e-05	0.00338448521210723	0.718072961785283	2.3144887862563	0	54
GO:0008432	3.97796209002128e-05	0.00446600759221291	-0.911736629805307	-1.95641485576718	1	8
GO:0030159	3.9941685139696e-05	0.00446600759221291	-0.89419968712418	-2.0371273617947	1	10
GO:0008312	3.9941685139696e-05	0.00446600759221291	-0.884460522221893	-2.01494001417072	1	10
GO:0001948	4.06000690201173e-05	0.00446600759221291	-0.710652149325546	-2.13142860987456	1	30
GO:0047750	4.00833734167068e-05	0.00446600759221291	0.986084093969774	1.73918357704424	1	4
GO:0051787	5.95888370245307e-05	0.00624264006923655	-0.947726241064261	-1.87602968172832	2	6
GO:0004571	0.000100399590369671	0.0100399590369671	-0.742574805004431	-1.99618470144051	4	19
GO:0015020	0.000117665516159398	0.0104934713913787	0.725475242314524	2.16858529383718	5	36
GO:0030342	0.000119243993083848	0.0104934713913787	-0.955132242341477	-1.79579833361006	5	5
GO:0008403	0.000119243993083848	0.0104934713913787	-0.955132242341477	-1.79579833361006	5	5
GO:0005524	0.000138478581979321	0.0115711977110067	-0.244667927444377	-1.22371393751165	2	3087
GO:0003824	0.000142010153725991	0.0115711977110067	0.471355599915201	1.82602413131356	7	178
GO:0008565	0.000173943294485998	0.0136669731381855	-0.467046483159451	-1.76989202426933	7	106
GO:0003756	0.000181730070268961	0.0137864191238522	-0.682822943008244	-1.96309739171194	8	25
GO:0016491	0.000191781299579825	0.0140639619691871	0.435829472143519	1.74048578600804	10	227
GO:0015278	0.000198739988473081	0.0141041282142186	-0.945507568327603	-1.77770243778596	9	5
GO:0043130	0.000205812134683461	0.0141495842594879	-0.608117885721735	-1.94624593896204	9	41
GO:0005078	0.000219359470346588	0.0146239646897725	-0.824410129846367	-1.97210110766129	10	12
GO:0048273	0.000239272611261764	0.0154823454345847	-0.859771184289133	-1.90575398184022	11	9
GO:0005525	0.000255435091105183	0.0160559200123258	-0.289202092823427	-1.3537248484159	8	778
GO:0071567	0.000279524807826695	0.0170820715894091	-0.98231350876843	-1.60597677848022	13	3
GO:0004843	0.000303174671921694	0.0180266021142629	-0.467050953332878	-1.75056599410542	13	99
GO:0004850	0.000419387693966808	0.0231792731140501	-0.835483195163559	-1.90336196902626	20	10
GO:0016757	0.000411836171570949	0.0231792731140501	-0.573469397648004	-1.86133645400918	19	44
GO:0003896	0.000421441329346365	0.0231792731140501	-0.9997306679435	-1.33667517169907	20	1
GO:0004782	0.00044004400440044	0.0236121173092919	-0.771945927071382	-1.92122308653234	21	14
GO:0003730	0.00062570391690652	0.0320127585394033	-0.53696449474561	-1.81180202293117	29	54
GO:0001716	0.000621865596790371	0.0320127585394033	0.895750199521149	1.95545301009538	30	9
GO:0000166	0.000641043507344129	0.0320521753672064	-0.285796981795849	-1.32879399517337	22	704
