name	group	reference	reads1	reads2	annotation
2	control	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/portrait_/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_132_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_132_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
3	control	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_117_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_117_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
4	control	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_129_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_129_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
5	control	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_114_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_114_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
6	control	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_111_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_111_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
7	EE2	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_130_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_130_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
8	EE2	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_120_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_120_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
9	EE2	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_109_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_109_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
10	EE2	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_102_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_102_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
11	EE2	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_115_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_115_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
12	Mix	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_119_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_119_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
13	Mix	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_105_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_105_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
14	Mix	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_123_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_123_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
15	Mix	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_133_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_133_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
16	Mix	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_108_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_108_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
17	Cd	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_121_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_121_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
18	Cd	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_125_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_125_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
19	Cd	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_113_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_113_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
20	Cd	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_101_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_101_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
21	BNF	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_106_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_106_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
22	BNF	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_131_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_131_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
23	BNF	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_103_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_103_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
24	BNF	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/west_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_118_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_118_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
P426	Kv2014	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast//storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_104_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_104_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/gff/rpstblastn_out.gff
901	Kv2010	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_107_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_107_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
910	Kv2010	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_110_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_110_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
913	Kv2010	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_112_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_112_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
P408	Kv2014	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_116_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_116_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
P422	Kv2014	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_122_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_122_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
918	Kv2010	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_124_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_124_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
P411	Kv2014	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_126_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_126_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
904	Kv2010	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_127_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_127_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
P414	Kv2014	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_east-coast/east_coast_good-transcripts_CD-HIT_97_TWO_SAMPLES.fasta	/storage/tobiaso/perca/J.Sturve_15_01/P3503_128_1.fastq	/storage/tobiaso/perca/J.Sturve_15_01/P3503_128_2.fastq	/storage/tobiaso/perca/02_annotation/Perca_fluviatilis_west-coast/gff/rpstblastn_out.gff
