transcript_id	Annotation_uniprot
P3503_114_TRINITY_DN20810_c1_g1_i2	A7Z064
P3503_119_TRINITY_DN19593_c0_g1_i2	
P3503_117_TRINITY_DN17305_c0_g1_i1	Q6NYZ6
P3503_102_TRINITY_DN21762_c0_g1_i1	
P3503_129_TRINITY_DN7262_c0_g1_i1	
P3503_114_TRINITY_DN17044_c0_g1_i1	
P3503_129_TRINITY_DN16380_c0_g2_i1	Q6AXK4
P3503_121_TRINITY_DN21184_c6_g2_i2	P35072
P3503_108_TRINITY_DN15782_c1_g1_i1	
P3503_131_TRINITY_DN29450_c0_g1_i1	
P3503_129_TRINITY_DN36372_c0_g1_i1	
P3503_109_TRINITY_DN14935_c1_g1_i1	Q8N157
P3503_129_TRINITY_DN4588_c0_g1_i1	
P3503_103_TRINITY_DN26850_c0_g1_i1	P84089
P3503_114_TRINITY_DN37086_c0_g1_i1	
P3503_114_TRINITY_DN21013_c0_g1_i1	C0HK23
P3503_103_TRINITY_DN25521_c0_g1_i1	
P3503_105_TRINITY_DN18403_c5_g5_i7	
P3503_105_TRINITY_DN18403_c5_g5_i1	
P3503_109_TRINITY_DN33089_c0_g1_i1	
P3503_106_TRINITY_DN1344_c1_g1_i1	A5GFW5
P3503_118_TRINITY_DN15517_c0_g1_i1	
P3503_120_TRINITY_DN16250_c0_g1_i1	
P3503_130_TRINITY_DN20833_c0_g1_i2	
P3503_130_TRINITY_DN20833_c0_g1_i1	
P3503_119_TRINITY_DN722_c0_g2_i1	O15417
P3503_118_TRINITY_DN22346_c7_g4_i1	
P3503_101_TRINITY_DN21300_c0_g1_i1	O89029
P3503_121_TRINITY_DN33810_c0_g1_i1	
P3503_103_TRINITY_DN14364_c0_g1_i1	O43390
P3503_131_TRINITY_DN13997_c0_g1_i1	
P3503_102_TRINITY_DN20086_c0_g1_i1	
P3503_123_TRINITY_DN34678_c0_g1_i1	
P3503_108_TRINITY_DN3585_c0_g1_i1	Q6TCG8
P3503_131_TRINITY_DN29547_c0_g1_i1	
P3503_119_TRINITY_DN39390_c0_g1_i1	Q9C0G0
P3503_114_TRINITY_DN13184_c0_g1_i2	P51817
P3503_119_TRINITY_DN38247_c0_g1_i1	
P3503_119_TRINITY_DN16577_c3_g1_i1	
P3503_118_TRINITY_DN11022_c0_g1_i1	
P3503_133_TRINITY_DN14785_c2_g1_i1	Q6P9I7
P3503_131_TRINITY_DN37769_c0_g1_i1	Q5XFY4
P3503_113_TRINITY_DN21085_c4_g23_i1	
P3503_132_TRINITY_DN23118_c4_g1_i15	Q92090
P3503_115_TRINITY_DN21109_c3_g7_i2	
P3503_115_TRINITY_DN21109_c3_g7_i7	
P3503_132_TRINITY_DN23118_c4_g1_i10	Q92090
P3503_115_TRINITY_DN21109_c3_g7_i9	
P3503_119_TRINITY_DN22930_c1_g2_i2	
P3503_114_TRINITY_DN20898_c0_g1_i1	Q6GL74
P3503_119_TRINITY_DN22930_c1_g2_i7	Q91880
P3503_125_TRINITY_DN18297_c1_g1_i1	
P3503_109_TRINITY_DN19967_c3_g1_i2	Q9Y519
P3503_109_TRINITY_DN19967_c3_g1_i1	Q9Y519
P3503_129_TRINITY_DN19766_c0_g2_i3	Q8C7Q4
P3503_109_TRINITY_DN23813_c0_g1_i1	
P3503_117_TRINITY_DN32200_c0_g1_i1	A2AQ25
P3503_121_TRINITY_DN18389_c0_g1_i2	Q28F51
P3503_118_TRINITY_DN10418_c0_g1_i1	A6H779
P3503_108_TRINITY_DN19545_c1_g2_i1	
P3503_125_TRINITY_DN36136_c0_g1_i1	
P3503_106_TRINITY_DN13400_c0_g1_i1	Q8BGZ8
P3503_129_TRINITY_DN22440_c0_g2_i12	Q92090
P3503_102_TRINITY_DN26244_c0_g1_i1	
P3503_113_TRINITY_DN19385_c1_g1_i1	Q9R013
P3503_119_TRINITY_DN6863_c0_g1_i1	Q9Z0U9
P3503_118_TRINITY_DN22118_c3_g30_i1	
P3503_115_TRINITY_DN35390_c0_g1_i1	
P3503_129_TRINITY_DN6779_c0_g1_i1	
P3503_125_TRINITY_DN19920_c0_g1_i1	Q2L969
P3503_130_TRINITY_DN40829_c0_g1_i1	
P3503_109_TRINITY_DN33014_c0_g1_i1	
P3503_121_TRINITY_DN21149_c4_g1_i1	
P3503_131_TRINITY_DN20106_c1_g2_i1	Q8SPS9
P3503_118_TRINITY_DN21617_c1_g1_i1	Q93008
P3503_118_TRINITY_DN18681_c0_g1_i1	
P3503_101_TRINITY_DN14615_c0_g1_i1	O15084
P3503_129_TRINITY_DN19119_c0_g1_i1	A3KN83
P3503_132_TRINITY_DN16108_c0_g1_i1	
P3503_129_TRINITY_DN21269_c1_g3_i2	P26794
P3503_103_TRINITY_DN20904_c2_g1_i1	Q66HX0
P3503_109_TRINITY_DN1150_c0_g1_i1	
P3503_133_TRINITY_DN18392_c0_g1_i1	
P3503_115_TRINITY_DN20620_c0_g1_i1	Q61830
P3503_119_TRINITY_DN13694_c0_g1_i1	
P3503_133_TRINITY_DN15614_c1_g1_i1	
P3503_115_TRINITY_DN20620_c0_g1_i2	Q61830
P3503_130_TRINITY_DN21643_c0_g1_i2	Q8BLF1
P3503_119_TRINITY_DN38043_c0_g1_i1	Q6NWA8
P3503_130_TRINITY_DN21643_c0_g1_i1	Q8BLF1
P3503_103_TRINITY_DN34790_c0_g1_i1	
P3503_125_TRINITY_DN22241_c1_g1_i1	
