Row.names	logFC EE2	logCPM	LR	PValue	FDR EE2	Annotation_uniprot	Annotation_fish	logFC Mix	FDR Mix
P3503_130_TRINITY_DN21868_c1_g1_i1	13.2275394583576	4.65329597374877	73.9019840251785	8.20937557090019e-18	8.22981691607173e-13	NA	NA	13.7436512160914	5.63416768665229e-19
P3503_120_TRINITY_DN13872_c0_g1_i1	13.5413849322998	4.96643157198584	70.0237340423142	5.85951832374588e-17	2.937054262186e-12	NA	Uncharacterized protein [Ophiocordyceps sinensis (strain Co18 / CGMCC 3.14243)]	13.1927819004514	1.35499166002455e-19
P3503_130_TRINITY_DN21868_c1_g2_i1	12.7189139417767	4.14608634023442	65.0238823198051	7.3995815862398e-16	2.47266884812985e-11	NA	NA	12.3313836790114	1.81400940715994e-19
P3503_119_TRINITY_DN23258_c3_g1_i1	7.07168995509361	5.01469632497425	61.5786466594308	4.25407167498654e-15	1.06616607836431e-10	NA	PREDICTED  zinc finger BED domain-containing protein 1-like [Austrofundulus limnaeus]	7.02950307705603	3.60199232019435e-20
P3503_120_TRINITY_DN1442_c0_g1_i1	10.4563021893305	8.28301338337316	60.7657508888308	6.42866901903979e-15	1.28893528097944e-10	NA	NA	10.4592806397378	7.88417584565506e-21
P3503_119_TRINITY_DN21740_c0_g2_i2	12.0477808623748	6.34807250940456	59.606911858559	1.15827652477111e-14	1.93526772219632e-10	NA	NA	11.9055965213285	2.0460684526247e-22
P3503_108_TRINITY_DN19704_c5_g1_i1	12.2658053853281	10.4158113614792	59.0262909449259	1.55579283810588e-14	1.97140022505544e-10	Vitellogenin-2 [Q98893, Fundulus heteroclitus]	Vitellogenin Ab (Fragment) [Perca flavescens]	11.5779425260125	6.47066552432824e-13
P3503_119_TRINITY_DN21740_c0_g1_i2	11.5745776843528	5.12915012508512	59.0043937063631	1.57320290481137e-14	1.97140022505544e-10	NA	NA	12.1960547012069	1.25278492105039e-20
P3503_115_TRINITY_DN20765_c0_g1_i1	11.3258513617989	7.44341540775762	57.5838281415821	3.23877542542516e-14	3.24683997623447e-10	NA	NA	11.4085195560169	9.86074019858289e-22
P3503_133_TRINITY_DN22845_c2_g1_i6	10.9600958741369	6.66287954635997	57.6961692656517	3.05897973087171e-14	3.24683997623447e-10	NA	NA	11.1240389764665	1.88904637942361e-20
P3503_123_TRINITY_DN21015_c0_g1_i4	11.8070205632688	6.02432828027043	57.20285702062	3.93099716213136e-14	3.58253213187734e-10	NA	NA	11.4015120706063	3.4522499230978e-16
P3503_115_TRINITY_DN20600_c0_g2_i1	7.9120666466664	3.45044940779928	56.4889470606259	5.65151615611921e-14	4.72132369278996e-10	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 protein (Fragment) [Scophthalmus maximus]	7.88464378854414	1.81400940715994e-19
P3503_133_TRINITY_DN21491_c0_g1_i1	12.1348946900527	3.56430494367418	56.0591548446162	7.03229914771457e-14	5.42293044045567e-10	Zona pellucida sperm-binding protein 4 [Q9BH11, Bos taurus]	Choriogenin Hb [Thunnus orientalis]	12.4084371416184	2.67024561823723e-22
P3503_108_TRINITY_DN18758_c0_g1_i2	11.8514179848008	3.28240938937584	55.218572079307	1.07844924303834e-13	7.72238986895361e-10	Zona pellucida sperm-binding protein 1 [Q62005, Mus musculus]	Choriogenin Hb [Thunnus orientalis]	12.0297913122256	3.48890939027023e-18
P3503_102_TRINITY_DN19501_c1_g1_i3	6.75413613967364	4.26095478237592	51.8565238609571	5.97079578700285e-13	3.76572901899372e-09	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 protein (Fragment) [Scophthalmus maximus]	7.26379949915999	1.04712512796795e-13
P3503_130_TRINITY_DN22291_c3_g16_i1	7.20071662292052	3.82401217508191	51.8436082011805	6.01020102982568e-13	3.76572901899372e-09	NA	NA	6.69133668769265	2.85426167965656e-18
P3503_102_TRINITY_DN18991_c0_g1_i1	10.2157449480108	6.53632221967242	51.5706173804696	6.90675530775564e-13	4.0729136049835e-09	NA	NA	10.2824573121002	8.32870858163616e-18
P3503_102_TRINITY_DN19287_c0_g1_i1	6.56483554033275	5.01450736095603	51.315685400501	7.86447395285002e-13	4.3800313849959e-09	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component pro-C3-1 [Trematomus bernacchii]	6.83373214722996	2.46382846228276e-18
P3503_109_TRINITY_DN20118_c0_g2_i1	10.6032160300801	5.70078491638829	50.7329345552839	1.05828742228054e-12	5.58380293664221e-09	NA	Coagulation factor V (Fragment) [Bos mutus]	10.1351707433507	5.12176563169166e-15
P3503_102_TRINITY_DN17610_c0_g1_i1	10.1739591281065	4.74244065433812	50.3972375234742	1.2557085886052e-12	5.99445382376582e-09	NA	NA	10.5001873207719	2.50854174252454e-20
P3503_123_TRINITY_DN19027_c0_g1_i1	11.3352682204597	6.42125633958421	50.442233832785	1.22724499575628e-12	5.99445382376582e-09	NA	NA	11.4105492329942	9.86074019858289e-22
P3503_115_TRINITY_DN20999_c2_g1_i3	9.44789908002341	10.1503637996791	49.9128020700079	1.60732514329815e-12	7.32421537684072e-09	Vitellogenin-2 [Q98893, Fundulus heteroclitus]	Vitellogenin Ab [Moronidae]	9.3780643183009	7.91182829772259e-12
P3503_108_TRINITY_DN18711_c0_g2_i1	7.09793652451418	2.55357834605594	49.0566188746942	2.48679667767387e-12	1.0839081745223e-08	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 [Paralichthys olivaceus]	7.43730353482017	6.7193012464388e-18
P3503_123_TRINITY_DN19953_c0_g2_i4	10.9633406178412	2.40191681896886	48.7407287409405	2.92136277010833e-12	1.22026540141912e-08	NA	NA	10.9197182624156	2.16746324125125e-17
P3503_133_TRINITY_DN22510_c0_g1_i1	6.78296927138467	1.83213551548594	48.5668643290126	3.19217436367325e-12	1.28004915113552e-08	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	PREDICTED  complement C3  partial [Pseudocrenilabrinae]	7.22040406713957	1.3442922530233e-15
P3503_108_TRINITY_DN19379_c0_g2_i1	9.90693990804487	3.77597560385732	48.3398076422478	3.58402217257879e-12	1.38190245684173e-08	NA	NA	9.41056763560788	1.46767171038507e-15
P3503_119_TRINITY_DN22752_c0_g1_i7	10.7582386144119	7.11570740394145	46.8967940498798	7.48250126194926e-12	2.77819729262649e-08	NA	Coagulation factor V (Fragment) [Bos mutus]	10.4162015703219	4.62144754075251e-12
P3503_108_TRINITY_DN18979_c0_g1_i5	10.5769022046811	4.81349839685752	45.128716489108	1.84500005732469e-11	6.60569324095511e-08	NA	NA	11.2548608394321	6.65342629983453e-13
P3503_113_TRINITY_DN34164_c0_g1_i1	10.7137822564977	7.53917141298965	44.724792069564	2.26767713445126e-11	7.83904707074499e-08	Vitellogenin-2 [Q98893, Fundulus heteroclitus]	Vitellogenin Ab (Fragment) [Perca flavescens]	10.3705418770059	1.75060804869119e-08
P3503_133_TRINITY_DN23383_c0_g4_i1	7.68567229332417	5.2496225603401	44.401597389615	2.67468769671738e-11	8.93782556360735e-08	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 3 [Perca flavescens]	7.16809185284356	4.5147480832249e-12
P3503_119_TRINITY_DN22362_c0_g1_i1	6.39761912251905	1.64066208593677	43.395973057104	4.4710731274784e-11	1.40068940611432e-07	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	PREDICTED  complement C3  partial [Pseudocrenilabrinae]	6.9958684701268	2.33285878203178e-17
P3503_119_TRINITY_DN23151_c1_g21_i1	5.88068032898788	6.83951499038397	43.4487785267051	4.35203220025914e-11	1.40068940611432e-07	L-amino-acid oxidase [P86810, Siganus canaliculatus]	L-amino acid oxidase [Epinephelus coioides]	5.6468542650388	4.05624650319112e-09
P3503_108_TRINITY_DN19865_c6_g2_i15	5.87991461295991	7.26613549588121	42.8217244846776	5.99625458685725e-11	1.82157129114501e-07	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 (Fragment) [Epinephelus bruneus]	5.77292176142255	2.05181913855049e-13
P3503_131_TRINITY_DN20965_c0_g1_i4	5.90379932806794	6.09776294612935	42.6134035564283	6.67007534012087e-11	1.96667171403464e-07	NA	NA	5.88967752602844	1.81400940715994e-19
P3503_111_TRINITY_DN23019_c3_g8_i5	5.47748734832464	5.31142466007639	42.4842883371417	7.12522915927792e-11	2.04084885139558e-07	NA	NA	5.43786895133647	6.31039860094621e-16
P3503_119_TRINITY_DN23301_c6_g8_i3	5.86344915323679	4.64758061566542	42.122086438498	8.57492264156454e-11	2.38785394415057e-07	NA	NA	5.46603152560924	2.51727035922529e-15
P3503_130_TRINITY_DN21995_c0_g2_i4	7.17827492257931	3.21371789770398	41.4903988826806	1.18451244745825e-10	3.20935644176331e-07	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component c3 (Fragment) [Perca flavescens]	7.80451712091156	3.06274003100635e-18
P3503_102_TRINITY_DN19821_c6_g1_i1	9.02362310437818	9.77498678796652	41.1605466989742	1.40224576594335e-10	3.6993088365804e-07	Vitellogenin-2 [Q98893, Fundulus heteroclitus]	Vitellogenin Ab [Moronidae]	8.77100964083273	2.05765653706614e-08
P3503_119_TRINITY_DN21720_c0_g1_i2	5.88191051964581	5.43574462085466	41.0484146150217	1.48504580849711e-10	3.81729121169298e-07	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component c3 [Sparus aurata]	6.55306428439571	2.61222271308672e-15
P3503_119_TRINITY_DN23328_c6_g3_i1	5.95525757266834	2.66059362565769	40.6337172269614	1.83610895013996e-10	4.60170215356452e-07	Complement C3 (Fragment) [P98093, Oncorhynchus mykiss]	Complement component C3 [Anarhichas minor]	6.70383237981833	1.19676217866633e-12
P3503_123_TRINITY_DN22284_c1_g12_i1	5.79864878417273	4.29992241693844	40.14488837188	2.35807707757715e-10	5.76572851097637e-07	NA	NA	5.31201848977151	1.48878116029309e-13
P3503_102_TRINITY_DN19847_c8_g17_i4	5.86521969005442	9.02321251222543	39.8917698593629	2.68431885336713e-10	6.11591547116367e-07	Vitellogenin (Fragment) [Q90243, Acipenser transmontanus]	Vitellogenin C [Moronidae]	5.99810879382829	1.53342072310074e-18
P3503_106_TRINITY_DN21840_c4_g1_i2	5.6064413586281	8.69514010478894	39.9221832460021	2.6428458979447e-10	6.11591547116367e-07	Vitellogenin (Fragment) [Q90243, Acipenser transmontanus]	Vitellogenin C [Moronidae]	5.80968903605241	2.519300636061e-19
P3503_130_TRINITY_DN22284_c2_g4_i3	8.06200333370764	6.11152357057086	39.9426391190702	2.6153128432611e-10	6.11591547116367e-07	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 1 [Perca flavescens]	7.42554804421255	3.30363426335709e-11
P3503_123_TRINITY_DN22610_c6_g4_i1	4.20532883876105	1.54043252653346	39.7064184206957	2.951539161382e-10	6.4585126172334e-07	Serpin B6 [Q60854, Mus musculus]	Alpha-1-antitrypsin [Oplegnathus fasciatus]	3.67108301590512	7.339824217019e-08
P3503_131_TRINITY_DN21516_c3_g5_i18	5.73147825887508	9.38912792318885	39.6984958556832	2.96353659779885e-10	6.4585126172334e-07	Galactose-specific lectin nattectin [Q66S03, Thalassophryne nattereri]	C-type lectin 11 [Perca flavescens]	5.05039823608479	1.1648498542524e-10
P3503_123_TRINITY_DN22284_c1_g13_i1	6.05472315663153	5.83857388963505	39.5361236805971	3.22046681667563e-10	6.86911867882798e-07	NA	NA	5.51682351064675	1.46767171038507e-15
P3503_131_TRINITY_DN21525_c1_g3_i2	7.82674816412091	6.79534218984297	39.4775128284274	3.31859004961566e-10	6.93094445591501e-07	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 1 [Perca flavescens]	7.28219805112891	4.80887964871739e-09
P3503_123_TRINITY_DN22586_c2_g14_i7	5.703734780008	4.92668353137935	39.4110510113772	3.43348324114151e-10	7.02455635594275e-07	NA	NA	5.04239467664051	1.2055291734386e-09
P3503_109_TRINITY_DN20647_c0_g1_i12	8.025688242795	7.19517573984434	39.2857803338125	3.66097763754391e-10	7.34018694372279e-07	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 3 [Perca flavescens]	7.62542690197819	1.40422826617831e-11
P3503_119_TRINITY_DN19968_c0_g2_i1	6.21065822585109	1.44907999097761	39.2347412353484	3.75793740603387e-10	7.38685229446057e-07	NA	NA	6.98588875871952	5.23198072597114e-06
P3503_119_TRINITY_DN23056_c3_g1_i3	3.89039057047142	2.91495906266197	38.7996017784007	4.69623651993382e-10	9.05371182474704e-07	NA	NA	3.86827211453441	3.54367031281832e-09
P3503_130_TRINITY_DN22284_c2_g4_i2	6.85391654306515	6.21082940015495	38.5174320194689	5.42668087727729e-10	1.02645156842674e-06	Ladderlectin [P81018, Oncorhynchus mykiss]	Type II antifreeze protein 3 [Perca flavescens]	6.30851892315501	4.35598325361828e-11
