Row.names	logFC BNF	logCPM	LR	PValue	FDR BNF	Annotation_uniprot	Annotation_fish	logFC Mix	FDR Mix
P3503_115_TRINITY_DN30609_c0_g1_i1	-2.52977853598643	-1.95502307549956	8.51833737951111	0.00351585552624567	0.615115184381505	NA	NA	-0.0444551337989693	0.993795477013366
P3503_103_TRINITY_DN27132_c0_g1_i1	3.07223674627469	-2.5309510420683	6.80459182446923	0.00909237366711217	0.849114017979624	Ribonuclease pancreatic [P67928, Camelus dromedarius]	PREDICTED  angiogenin-like [Pseudocrenilabrinae]	0.985457897017278	0.901281998865677
P3503_101_TRINITY_DN28863_c0_g1_i1	-0.372520242763651	-2.23218652930868	0.210624098717532	0.646278681053802	1	NA	Uncharacterized protein (Fragment) [Fundulus heteroclitus]	0.591626374847731	0.885123860613389
P3503_102_TRINITY_DN19879_c3_g2_i1	-0.783308566844404	-2.27928749058286	0.47882377337644	0.488955582528039	1	NA	NA	1.34102694610967	0.709925816710857
P3503_102_TRINITY_DN31864_c0_g1_i1	-0.821300105870032	-1.81920467346613	1.14550778811999	0.284491505135437	1	NA	NA	-0.936550450730456	0.823217386804384
P3503_103_TRINITY_DN21377_c4_g3_i1	0.709268898002185	0.37859535213363	1.06043954937754	0.303114955354583	1	NA	NA	-0.0505115228955926	0.992684130811793
P3503_103_TRINITY_DN5839_c0_g1_i1	0.697337926267704	-0.921476784862593	0.717001241176792	0.397129321485883	1	NA	NA	-0.0885733825669181	0.988611606834532
P3503_103_TRINITY_DN9922_c1_g1_i1	1.79817196911613	-2.80743414281251	2.00521194909544	0.156759382722181	1	NA	NA	0.907676860198936	0.884836978298301
P3503_106_TRINITY_DN5602_c0_g1_i1	-0.440629506301024	-1.31882489015278	0.538279910824917	0.463146462638063	1	NA	NA	-2.63219770913063	0.0444181622951665
P3503_108_TRINITY_DN16774_c0_g1_i1	-0.19295711670248	2.06836017293081	0.158591377706846	0.690456725802502	1	Motile sperm domain-containing protein 1 [Q9UJG1, Homo sapiens]	PREDICTED  motile sperm domain-containing protein 1 isoform X1 [Stegastes partitus]	0.357253900175089	0.879254026711965
P3503_108_TRINITY_DN19627_c8_g11_i1	-0.159740631367769	4.70313275170311	0.108004346052724	0.742427699343354	1	HMG box-containing protein 1 [O60381, Homo sapiens]	PREDICTED  HMG box-containing protein 1-like isoform X2 [Larimichthys crocea]	-0.755890317576071	0.646642783837809
P3503_109_TRINITY_DN12537_c0_g1_i1	0.502497382537613	-0.0608352571067531	1.40805823583437	0.2353790047402	1	NA	UPI0007B8209D related cluster [unknown]	0.569713606754994	0.721315080824629
P3503_109_TRINITY_DN7772_c0_g1_i1	0.167217546109468	-0.628306816880797	0.0762990646015709	0.782376905527585	1	Hermansky-Pudlak syndrome 3 protein [Q969F9, Homo sapiens]	PREDICTED  Hermansky-Pudlak syndrome 3 protein isoform X1 [Notothenia coriiceps]	-0.192112124315914	0.966610276333556
P3503_111_TRINITY_DN15369_c0_g1_i1	-0.0695252268617816	-0.436793865808825	0.018883900543079	0.890699846680353	1	Signal transducer and activator of transcription 6 [P42226, Homo sapiens]	PREDICTED  signal transducer and activator of transcription 6-like [Larimichthys crocea]	-0.116350391346495	0.978941402265715
P3503_111_TRINITY_DN22891_c1_g5_i1	-0.155729161049596	2.87239077436317	0.161770505383477	0.687531659410419	1	NA	NA	0.0273045828266689	0.992749272353792
P3503_113_TRINITY_DN20380_c1_g1_i1	1.18317918540883	-0.925891446776787	3.73011716782878	0.0534396449589528	1	NA	NA	0.889138828665474	0.681705696659869
P3503_114_TRINITY_DN27475_c0_g1_i1	-0.887481382229965	0.372825773375034	4.1574291910969	0.0414522745146036	1	NA	NA	-0.661385794314313	0.678097427604087
P3503_114_TRINITY_DN34195_c0_g1_i1	0.212491669578749	-1.85012569949648	0.0395931875268865	0.842278100255214	1	Mitogen-activated protein kinase-binding protein 1 [O60336, Homo sapiens]	Uncharacterized protein (Fragment) [Gasterosteus aculeatus]	-0.57769151538626	0.931821438573023
P3503_115_TRINITY_DN27667_c0_g1_i1	-0.322205957362268	-2.43416778820859	0.144904816381227	0.703452842855584	1	NA	NA	-0.102821553525369	0.988595112613186
P3503_117_TRINITY_DN36258_c0_g1_i1	-0.0424854903356426	-2.05815797636187	0.00168418111566915	0.967264983302855	1	Myoferlin [Q9NZM1, Homo sapiens]	Uncharacterized protein (Fragment) [Gasterosteus aculeatus]	-2.39762712130213	0.590340017171073
